Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Color","Length","Features"
https://www.molex.com/pdm_docs/sd/688014146_sd.pdf,//media.digikey.com/Photos/Molex/0688014146.jpg,WM9591-ND,0688014146,Molex,PICO-EZMATE HARNESS FOR VERO 6"",16586,0,"0.80000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","6.00"" (152.4mm)","28 AWG"
https://www.molex.com/pdm_docs/sd/688014084_sd.pdf,//media.digikey.com/Photos/Molex/0688014084.jpg,WM9594-ND,0688014084,Molex,PICO-EZMATE HARNESS FOR VERO 6"",32966,0,"1.15000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","6.00"" (152.4mm)","20 AWG, 28 AWG"
https://www.molex.com/pdm_docs/sd/688014085_sd.pdf,//media.digikey.com/Photos/Molex/0688014085.jpg,WM9595-ND,0688014085,Molex,PICO-EZMATE HARNESS FOR VERO 12"",13920,0,"1.28000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","12.00"" (304.8mm)","20 AWG, 28 AWG"
https://www.molex.com/pdm_docs/sd/688014228_sd.pdf,//media.digikey.com/Photos/Molex/0688014228.jpg,WM9596-ND,0688014228,Molex,PICO-EZMATE HARNESS FOR VERO 18"",4692,0,"1.38000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","18.0"" (457.2mm)","20 AWG, 28 AWG"
https://www.molex.com/pdm_docs/sd/688014229_sd.pdf,//media.digikey.com/Photos/Molex/0688014229.jpg,WM9599-ND,0688014229,Molex,PICO-EZMATE HARNESS FOR VERO 18"",32228,0,"1.50000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","18.0"" (457.2mm)","18 AWG, 28 AWG"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2213362&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2213362-4.JPG,A118883-ND,2213362-4,TE Connectivity AMP Connectors,RCPT ASSY DIM PHTCNTRL 3/4,8193,0,"11.93000","0","1","LUMAWISE Endurance N","Active","Socket, 7 Position (4 Dimmable, 3 Power)","Wire Leads","Multiple, Individual","12.00"" (304.8mm)","Dimming"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2213362&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2213362-2.JPG,A118881-ND,2213362-2,TE Connectivity AMP Connectors,RCPT ASSY DIM PHTCNTRL 3/4,8714,0,"14.08000","0","1","LUMAWISE Endurance N","Active","Socket, 7 Position (4 Dimmable, 3 Power)","Wire Leads","Multiple, Individual","12.00"" (304.8mm)","Dimming"
https://www.molex.com/pdm_docs/sd/688014147_sd.pdf,//media.digikey.com/Photos/Molex/0688014147.jpg,WM9592-ND,0688014147,Molex,PICO-EZMATE HARNESS FOR VERO 12"",14976,0,"0.93000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","12.00"" (304.8mm)","28 AWG"
https://www.molex.com/pdm_docs/sd/688014227_sd.pdf,//media.digikey.com/Photos/Molex/0688014227.jpg,WM9593-ND,0688014227,Molex,PICO-EZMATE HARNESS FOR VERO 18"",10100,0,"1.11000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","18.0"" (457.2mm)","28 AWG"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2106378&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2106378-2.JPG,A101048-ND,2106378-2,TE Connectivity AMP Connectors,CONN PLUG CABLE ASSY 2POS 18AWG,785,0,"5.21000","0","1","SlimSeal","Active","Plug, 2 Position","Wire Leads","Black","4.00"" (101.6mm)","-"
https://www.molex.com/pdm_docs/sd/688014226_sd.pdf,//media.digikey.com/Photos/Molex/0688014226.jpg,WM9597-ND,0688014226,Molex,PICO-EZMATE HARNESS FOR VERO 6"",8407,0,"1.24000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","6.00"" (152.4mm)","18 AWG, 28 AWG"
https://www.molex.com/pdm_docs/sd/688014225_sd.pdf,//media.digikey.com/Photos/Molex/0688014225.jpg,WM9598-ND,0688014225,Molex,PICO-EZMATE HARNESS FOR VERO 12"",5597,0,"1.41000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","12.00"" (304.8mm)","18 AWG, 28 AWG"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2106391&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2106391-2.jpg,A101051-ND,2106391-2,TE Connectivity AMP Connectors,CONN RCPT CABLE ASSY 2POS 18AWG,3774,0,"3.25000","0","1","SlimSeal","Active","Socket, 2 Position","Wire Leads","Black","4.00"" (101.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2106378&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2106378-3.JPG,A101049-ND,2106378-3,TE Connectivity AMP Connectors,CONN PLUG CABLE ASSY 3POS 18AWG,860,0,"3.88000","0","1","SlimSeal","Active","Plug, 3 Position","Wire Leads","Black","4.00"" (101.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2213362&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2213362-3.JPG,A118882-ND,2213362-3,TE Connectivity AMP Connectors,RCPT ASSY DIM PHTCNTRL 3/2,193,0,"11.98000","0","1","LUMAWISE Endurance N","Active","Socket, 7 Position (2 Dimmable, 5 Power)","Wire Leads","Multiple, Individual","12.00"" (304.8mm)","Dimming"
http://rhu103.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/987650-9611.pdf,//media.digikey.com/Photos/Molex/0688014593.JPG,WM10332-ND,0688014593,Molex,FLEXIMATE TO FLEXIMATE 46MM,9715,0,"0.91000","0","1","Flexi-Mate","Active","Plug, 2 Position","Plug, 2 Position","White","1.81"" (46.0mm)","-"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL12-J2LJ0-020AXX(A).pdf,//media.digikey.com/Photos/Amphenol%20Photos/SSL12-J2LJ0-020A01.jpg,APC1750-ND,SSL12-J2LJ0-020A01,Amphenol LTW,CONN 2P RCPT IP68,3199,0,"1.40000","0","1","SSL1.2","Active","Socket, 2 Position","Wire Leads","Brown, Red","3.94"" (100.0mm)","Industrial Environments - IP68"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL12-J4LJ0-020AXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_SSL12-J4LJ0-020AXX.jpg,1754-1184-ND,SSL12-J4LJ0-020A04,Amphenol LTW,"SSL1.2 WIRE ASSEMBLY,5A 4PIN, JA",1931,0,"2.34000","0","1","SSL1.2","Active","Socket, 4 Position","Wire Leads","Multiple","15.7"" (400.0mm)","Industrial Environments - IP68"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL12-P4LP0-M20AXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_SSL12-P4LP0-M20AXX.jpg,1754-1185-ND,SSL12-P4LP0-M20A04,Amphenol LTW,"SSL1.2 WIRE ASSEMBLY,5A 4PIN, PL",1922,0,"2.70000","0","1","SSL1.2","Active","Plug, 4 Position","Wire Leads","Multiple","15.7"" (400.0mm)","Industrial Environments - IP68, Latch Lock"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL11-J4LJ0-B22AXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_SSL11-J4LJ0-B22AXX.jpg,1754-1188-ND,SSL11-J4LJ0-B22A04,Amphenol LTW,"SSL1.1WIRE ASSY,WITH W2B LOCK 4P",650,0,"2.96000","0","1","SSL1.1","Active","Socket, 4 Position","Wire Leads","Multiple","15.7"" (400.0mm)","Latch Lock"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL11-P4LP0-B22AXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_SSL11-P4LP0-B22AXX.jpg,1754-1189-ND,SSL11-P4LP0-B22A04,Amphenol LTW,"SSL1.1WIRE ASSY,WITH W2B LOCK 4P",647,0,"2.96000","0","1","SSL1.1","Active","Plug, 4 Position","Wire Leads","Multiple","15.7"" (400.0mm)","Latch Lock"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2106391&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2106391-3.jpg,A101052-ND,2106391-3,TE Connectivity AMP Connectors,CONN RCPT CABLE ASSY 3POS 18AWG,1500,0,"3.91000","0","1","SlimSeal","Active","Socket, 3 Position","Wire Leads","Black","4.00"" (101.6mm)","-"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL11-J6LJ0-022AXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_SSL11-J6LJ0-022AXX.jpg,1754-1190-ND,SSL11-J6LJ0-022A04,Amphenol LTW,"SSL1.1 WIRE ASSY, W/O LOCK 6P JA",567,0,"4.17000","0","1","SSL1.1","Active","Socket, 6 Position","Wire Leads","Multiple","15.7"" (400.0mm)","-"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL11-P6LP0-022AXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_SSL11-P6LP0-022AXX.jpg,1754-1191-ND,SSL11-P6LP0-022A04,Amphenol LTW,"SSL1.1 WIRE ASSY, W/O LOCK 6P PL",567,0,"4.17000","0","1","SSL1.1","Active","Plug, 6 Position","Wire Leads","Multiple","15.7"" (400.0mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/2083075.pdf,//media.digikey.com/Photos/TE%20Connectivity/2-2083075-1.jpg,A104275-ND,2-2083075-1,TE Connectivity AMP Connectors,CABLE SVT PLUG TO PIGTAIL 2FT,155,0,"4.40000","0","1","Nector S","Active","Plug - Mini HVL LV-2","Wire Leads","White","24.0"" (609.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2181195&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2181193-1.jpg,A104293-ND,2181195-1,TE Connectivity AMP Connectors,CABLE SPT-2 PLUG TO PIGTAIL,402,0,"5.23000","0","1","Nector S","Active","Plug - Mini HVL LV-2","Wire Leads","White","24.0"" (609.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2181194&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2181194-1.JPG,A104292-ND,2181194-1,TE Connectivity AMP Connectors,CABLE SPT-2 PLUG TO PIGTAIL,250,0,"5.25000","0","1","Nector S","Active","Plug - Mini HVL HV-4","Wire Leads","White","24.0"" (609.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2181198&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2-2083077-1.jpg,A104298-ND,2181198-1,TE Connectivity AMP Connectors,CABLE SPT-2 OUTLET TO PIGTAIL,262,0,"5.43000","0","1","Nector S","Active","Outlet - Mini HVL LV-2","Wire Leads","White","24.0"" (609.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2181148&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2-2083074-1.jpg,A104288-ND,2181148-1,TE Connectivity AMP Connectors,CABLE SPT-2 PLUG TO PIGTAIL,186,0,"6.82000","0","1","Nector S","Active","Plug - Mini HVL HV-2","Wire Leads","White","24.0"" (609.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2213362&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2213362-1.JPG,A118880-ND,2213362-1,TE Connectivity AMP Connectors,RCPT ASSY DIM PHTCNTRL 3/2,210,0,"12.56000","0","1","LUMAWISE Endurance N","Active","Socket, 7 Position (2 Dimmable, 5 Power)","Wire Leads","Multiple, Individual","12.00"" (304.8mm)","Dimming"
http://rhu103.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/987650-9611.pdf,//media.digikey.com/Photos/Molex/068801459x.jpg,WM10333-ND,0688014594,Molex,FLEXIMATE TO FLEXIMATE 115MM,7169,0,"1.19000","0","1","Flexi-Mate","Active","Plug, 2 Position","Plug, 2 Position","White","4.53"" (115.0mm)","-"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL12-J2LJ0-0XXXXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/SSL12-J2LJ0-020F01.jpg,1754-1249-ND,SSL12-J2LJ0-020F01,Amphenol LTW,CABLE 2POS JACK 1M,600,0,"5.25000","0","1","SSL1.2","Active","Socket, 2 Position","Wire Leads","White","39.4"" (1.00m)","Industrial Environments - IP68"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL12-J2LJ0-0XXXXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/SSL12-J2LJ0-020H01.jpg,1754-1250-ND,SSL12-J2LJ0-020H01,Amphenol LTW,CABLE 2POS JACK 1M,598,0,"5.48000","0","1","SSL1.2","Active","Socket, 2 Position","Wire Leads","Black","39.4"" (1.00m)","Industrial Environments - IP68"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL12-P2LP0-MXXXXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/SSL12-P2LP0-M20F01.jpg,1754-1251-ND,SSL12-P2LP0-M20F01,Amphenol LTW,CABLE 2POS PLUG 1M,598,0,"5.48000","0","1","SSL1.2","Active","Plug, 2 Position","Wire Leads","White","39.4"" (1.00m)","Industrial Environments - IP68, Latch Lock"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL12-P2LP0-MXXXXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/SSL12-P2LP0-M20H01.jpg,1754-1252-ND,SSL12-P2LP0-M20H01,Amphenol LTW,CABLE 2POS PLUG 1M,598,0,"5.72000","0","1","SSL1.2","Active","Plug, 2 Position","Wire Leads","Black","39.4"" (1.00m)","Industrial Environments - IP68, Latch Lock"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL12-J4LJ0-0XXXXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/SSL12-J4LJ0-020F01.jpg,1754-1253-ND,SSL12-J4LJ0-020F01,Amphenol LTW,CABLE 4POS JACK 1M,600,0,"7.02000","0","1","SSL1.2","Active","Socket, 4 Position","Wire Leads","White","39.4"" (1.00m)","Industrial Environments - IP68"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL12-J4LJ0-0XXXXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/SSL12-J4LJ0-020H01.jpg,1754-1254-ND,SSL12-J4LJ0-020H01,Amphenol LTW,CABLE 4POS JACK 1M,598,0,"7.24000","0","1","SSL1.2","Active","Socket, 4 Position","Wire Leads","Black","39.4"" (1.00m)","Industrial Environments - IP68"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL12-P4LP0-MXXXXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/SSL12-P4LP0-M20F01.jpg,1754-1255-ND,SSL12-P4LP0-M20F01,Amphenol LTW,CABLE 4POS PLUG 1M,600,0,"7.54000","0","1","SSL1.2","Active","Plug, 4 Position","Wire Leads","White","39.4"" (1.00m)","Industrial Environments - IP68, Latch Lock"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL12-P4LP0-MXXXXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/SSL12-P4LP0-M20H01.jpg,1754-1256-ND,SSL12-P4LP0-M20H01,Amphenol LTW,CABLE 4POS PLUG 1M,598,0,"7.79000","0","1","SSL1.2","Active","Plug, 4 Position","Wire Leads","Black","39.4"" (1.00m)","Industrial Environments - IP68, Latch Lock"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2106391&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2106391-1.jpg,A115897-ND,2106391-1,TE Connectivity AMP Connectors,SSL RECEPTACLE CABLE ASSEMBLY,1435,0,"2.79000","0","1","SlimSeal","Active","Socket, 1 Position","Wire Leads","Black","4.00"" (101.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2106378&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2106378-4.JPG,A101050-ND,2106378-4,TE Connectivity AMP Connectors,CONN PLUG CABLE ASSY 4POS 18AWG,1189,0,"4.46000","0","1","SlimSeal","Active","Plug, 4 Position","Wire Leads","Black","4.00"" (101.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2106391&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2106391-4.JPG,A101053-ND,2106391-4,TE Connectivity AMP Connectors,CONN RCPT CABLE ASSY 4POS 18AWG,695,0,"6.00000","0","1","SlimSeal","Active","Socket, 4 Position","Wire Leads","Black","4.00"" (101.6mm)","-"
http://www.amphenolltw.com/2012download/2D%20PDF/09_SSL%20Solution%20Connectors/SSL12-P2LP0-M20AXX(A).pdf,//media.digikey.com/Photos/Amphenol%20Photos/SSL12-P2LP0-M20A01.jpg,APC1751-ND,SSL12-P2LP0-M20A01,Amphenol LTW,CONN 2P RCPT-CBL IP68,184,0,"1.73000","0","1","SSL1.2","Active","Plug, 2 Position","Wire Leads","Brown, Red","3.94"" (100.0mm)","Industrial Environments - IP68, Latch Lock"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2083074&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2-2083074-1.jpg,A104272-ND,2-2083074-1,TE Connectivity AMP Connectors,CABLE SVT PLUG TO PIGTAIL 2FT,80,0,"4.21000","0","1","Nector S","Active","Plug - Mini HVL HV-2","Wire Leads","White","24.0"" (609.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2181193&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2181193-1.jpg,A104290-ND,2181193-1,TE Connectivity AMP Connectors,CABLE SPT-2 PLUG TO PIGTAIL,53,0,"5.25000","0","1","Nector S","Active","Plug - Mini HVL HV-3","Wire Leads","White","24.0"" (609.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2181196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1-2083077-1.jpg,A104295-ND,2181196-1,TE Connectivity AMP Connectors,CABLE SPT-2 OUTLET TO PIGTAIL,52,0,"5.48000","0","1","Nector S","Active","Plug - Mini HVL HV-3","Wire Leads","White","24.0"" (609.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/2083073.pdf,//media.digikey.com/Photos/TE%20Connectivity/2181143-1.jpg,A104269-ND,1-2083073-1,TE Connectivity AMP Connectors,CABLE SVT PLUG TO OUTLET 2FT,53,0,"5.97000","0","1","Nector S","Active","Plug - Mini HVL HV-3","Outlet - Mini HVL HV-3","White","24.0"" (609.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2083077&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1-2083077-1.jpg,A104276-ND,1-2083077-1,TE Connectivity AMP Connectors,CABLE SVT OUTLET TO PIGTAIL 2FT,96,0,"6.38000","0","1","Nector S","Active","Outlet - Mini HVL HV-3","Wire Leads","White","24.0"" (609.6mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2083136&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1-2083136-1.jpg,A107389-ND,1-2083136-1,TE Connectivity AMP Connectors,CABLE 4 POS FEMALE/MALE,94,0,"8.76000","0","1","Nector S","Active","Socket, 4 Position","Plug, 4 Position","Black, White","24.0"" (609.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/2083075.pdf,//media.digikey.com/Photos/TE%20Connectivity/2-2083075-1.jpg,A104273-ND,1-2083075-1,TE Connectivity AMP Connectors,CABLE SVT PLUG TO PIGTAIL 2FT,58,0,"9.62000","0","1","Nector S","Active","Plug - Mini HVL HV-3","Wire Leads","White","24.0"" (609.6mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/2083075.pdf,//media.digikey.com/Photos/TE%20Connectivity/2-2083075-2.jpg,A117500-ND,2-2083075-2,TE Connectivity AMP Connectors,CABLE ASSY NECTOR S FEMALE TO PI,98,0,"7.66000","0","1","Nector S","Active","Plug - Mini HVL LV-2","Wire Leads","White","48.0"" (1.22m)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2083077&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2-2083077-3.jpg,A117503-ND,2-2083077-3,TE Connectivity AMP Connectors,CABLE ASSY NECTOR S MALE TO PIGT,100,0,"9.15000","0","1","Nector S","Active","Outlet - Mini HVL LV-2","Wire Leads","White","72.0"" (1.83m)","-"
-,-,2098-14430203-ND,14430203,Adels-Contact,CONN PIGTAIL TYPE II 2POS 13.8"",50,0,"1.58000","0","1","AC 162","Active","Socket, 2 Position","Wire Leads","Black, Red","13.8"" (350.0mm)","Industrial Environments - IP20"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/2058300_Dwg.pdf,//media.digikey.com/Photos/TE%20Connectivity/2058300-1.JPG,A107973-ND,2058300-1,TE Connectivity AMP Connectors,CABLE ASSY 2POS WIRE TO BRD,142,0,"1.84000","0","1","-","Obsolete","Blade and Receptacle, 2 Position","Wire Leads","Black, Red","4.00"" (101.6mm)","Latch Lock"
