Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Holding Temperature","Rated Functioning Temperature","Voltage - Rated AC","Voltage - Rated DC","Current Rating (Amps)","Approvals","Maximum Temperature Limit","Package / Case"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/Photos/Cantherm%20Photos/SDF%20DF098S.JPG,317-1128-ND,SDF DF098S,Cantherm,TCO 250VAC 10A 98C(208F) AXIAL,19062,0,"1.11000","0","1","SDF","Active","76°C (169°F)","98°C (208°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF091S.jpg,317-1127-ND,SDF DF091S,Cantherm,TCO 250VAC 10A 91C(196F) AXIAL,14451,0,"1.11000","0","1","SDF","Active","67°C (156°F)","91°C (196°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF100S.jpg,317-1129-ND,SDF DF100S,Cantherm,TCO 250VAC 10A 100C(212F) AXIAL,10893,0,"1.11000","0","1","SDF","Active","78°C (174°F)","100°C (212°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF%20SERIES.jpg,317-1132-ND,SDF DF119S,Cantherm,TCO 250VAC 10A 119C(246F) AXIAL,5899,0,"1.11000","0","1","SDF","Active","95°C (203°F)","119°C (246°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF%20SERIES.jpg,317-1133-ND,SDF DF128S,Cantherm,TCO 250VAC 10A 128C(262F) AXIAL,6969,0,"1.11000","0","1","SDF","Active","106°C (223°F)","128°C (262°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF%20SERIES.jpg,317-1134-ND,SDF DF141S,Cantherm,TCO 250VAC 10A 141C(286F) AXIAL,3990,0,"1.11000","0","1","SDF","Active","117°C (243°F)","141°C (286°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF%20SERIES.jpg,317-1138-ND,SDF DF184S,Cantherm,TCO 250VAC 10A 184C(363F) AXIAL,2510,0,"1.11000","0","1","SDF","Active","160°C (320°F)","184°C (363°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.us.tdk-lambda.com/ftp/specs/dfp10112.pdf,//media.digikey.com/Photos/TDK%20Photos/DFP10112.jpg,285-1901-ND,DFP10112,TDK-Lambda Americas Inc.,TCO 250VAC 139C(282F) RADIAL,25544,0,"1.26000","0","1","-","Active","-","139°C (282°F)","250V","-","-","CCC, UL/cUL, VDE","-","Radial"
https://www.cantherm.com/wp-content/uploads/2017/05/Thermal_Cutoff_11x17_SEPT_2016.pdf,//media.digikey.com/Photos/Cantherm%20Photos/L50%20SERIES.jpg,317-1560-ND,L5012824DELB0XE,Cantherm,TCO 250VAC 15A 128C(262F) CYLNDR,324,0,"13.11000","0","1","L50","Active","106°C (223°F)","128°C (262°F)","250V","-","15A","-","155°C (311°F)","Cylinder, Wire Leads"
https://www.cantherm.com/wp-content/uploads/2017/05/Thermal_Cutoff_11x17_SEPT_2016.pdf,//media.digikey.com/Photos/Cantherm%20Photos/L50%20SERIES.jpg,317-1564-ND,L5010024DELB0XE,Cantherm,TCO 250VAC 15A 100C(212F) CYLNDR,130,0,"13.11000","0","1","L50","Active","78°C (174°F)","100°C (212°F)","250V","-","15A","-","250°C (482°F)","Cylinder, Wire Leads"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF%20SERIES.jpg,317-1135-ND,SDF DF144S,Cantherm,TCO 250VAC 10A 144C(291F) AXIAL,40949,0,"1.11000","0","1","SDF","Active","120°C (248°F)","144°C (291°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF%20SERIES.jpg,317-1142-ND,SDF DF240S,Cantherm,TCO 250VAC 10A 240C(464F) AXIAL,8274,0,"1.11000","0","1","SDF","Active","200°C (392°F)","240°C (464°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF%20SERIES.jpg,317-1136-ND,SDF DF152S,Cantherm,TCO 250VAC 10A 152C(306F) AXIAL,8067,0,"1.11000","0","1","SDF","Active","128°C (262°F)","152°C (306°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,"//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF066S,%20SDJ1%20DF072S,%20SDJ1%20DF077S.jpg",317-1124-ND,SDF DF072S,Cantherm,TCO 250VAC 10A 72C(162F) AXIAL,4699,0,"1.11000","0","1","SDF","Active","50°C (122°F)","72°C (162°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF084S.jpg,317-1126-ND,SDF DF084S,Cantherm,TCO 250VAC 10A 84C(183F) AXIAL,2909,0,"1.11000","0","1","SDF","Active","60°C (140°F)","84°C (183°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,"//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF110S,%20SDJ1%20DF104S,%20SDJ1%20DF098S.jpg",317-1130-ND,SDF DF104S,Cantherm,TCO 250VAC 10A 104C(219F) AXIAL,2680,0,"1.11000","0","1","SDF","Active","80°C (176°F)","104°C (219°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,"//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF066S,%20SDJ1%20DF072S,%20SDJ1%20DF077S.jpg",317-1125-ND,SDF DF077S,Cantherm,TCO 250VAC 10A 77C(171F) AXIAL,1675,0,"1.11000","0","1","SDF","Active","55°C (131°F)","77°C (171°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF%20SERIES.jpg,317-1139-ND,SDF DF192S,Cantherm,TCO 250VAC 10A 192C(378F) AXIAL,1258,0,"1.11000","0","1","SDF","Active","162°C (324°F)","192°C (378°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/Thermal_Cutoff_11x17_SEPT_2016.pdf,//media.digikey.com/Photos/Cantherm%20Photos/L50%20SERIES.jpg,317-1568-ND,L5007724DELB0XE,Cantherm,TCO 250VAC 15A 77C(171F) CYLNDR,191,0,"13.11000","0","1","L50","Active","55°C (131°F)","77°C (171°F)","250V","-","15A","-","110°C (230°F)","Cylinder, Wire Leads"
https://www.cantherm.com/wp-content/uploads/2017/05/Thermal_Cutoff_11x17_SEPT_2016.pdf,//media.digikey.com/Photos/Cantherm%20Photos/L50%20SERIES.jpg,317-1554-ND,L5018424DELB0XE,Cantherm,TCO 250VAC 15A 184C(363F) CYLNDR,174,0,"13.11000","0","1","L50","Active","160°C (320°F)","184°C (363°F)","250V","-","15A","-","214°C (417°F)","Cylinder, Wire Leads"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC82AABTR-ND,SC82AAB,Bourns Inc.,"SMD HC TCO, 82C, LOW HEIGHT",5000,0,"0.46800","0","5000","SC","Active","77°F (25°C)","180°F (82°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC82AABCT-ND,SC82AAB,Bourns Inc.,"SMD HC TCO, 82C, LOW HEIGHT",5000,0,"1.27000","0","1","SC","Active","77°F (25°C)","180°F (82°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC82AABDKR-ND,SC82AAB,Bourns Inc.,"SMD HC TCO, 82C, LOW HEIGHT",5000,0,"Digi-Reel","0","1","SC","Active","77°F (25°C)","180°F (82°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard"
https://www.us.tdk-lambda.com/ftp/specs/AR00719.pdf,-,285-3018-ND,AR00719,TDK-Lambda Americas Inc.,TCO 250VAC 22R 1.6W RADIAL,987,0,"2.33000","0","1","A5MC","Active","-","139°C (282°F)","250V","-","-","CCC, cUL, KC, UL, VDE","-","Radial, Box"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC85AABTR-ND,SC85AAB,Bourns Inc.,"SMD HC TCO, 85C, LOW HEIGHT",0,0,"0.46800","0","5000","SC","Active","77°F (25°C)","185°F (85°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC85AABCT-ND,SC85AAB,Bourns Inc.,"SMD HC TCO, 85C, LOW HEIGHT",4970,0,"1.27000","0","1","SC","Active","77°F (25°C)","185°F (85°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC85AABDKR-ND,SC85AAB,Bourns Inc.,"SMD HC TCO, 85C, LOW HEIGHT",4970,0,"Digi-Reel","0","1","SC","Active","77°F (25°C)","185°F (85°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC72AABTR-ND,SC72AAB,Bourns Inc.,"SMD HC TCO, 72C, LOW HEIGHT",0,0,"0.46800","0","5000","SC","Active","77°F (25°C)","162°F (72°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC72AABCT-ND,SC72AAB,Bourns Inc.,"SMD HC TCO, 72C, LOW HEIGHT",4940,0,"1.27000","0","1","SC","Active","77°F (25°C)","162°F (72°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC72AABDKR-ND,SC72AAB,Bourns Inc.,"SMD HC TCO, 72C, LOW HEIGHT",4940,0,"Digi-Reel","0","1","SC","Active","77°F (25°C)","162°F (72°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC77AABTR-ND,SC77AAB,Bourns Inc.,"SMD HC TCO, 77C, LOW HEIGHT",0,0,"0.46800","0","5000","SC","Active","77°F (25°C)","171°F (77°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC77AABCT-ND,SC77AAB,Bourns Inc.,"SMD HC TCO, 77C, LOW HEIGHT",4899,0,"1.27000","0","1","SC","Active","77°F (25°C)","171°F (77°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC77AABDKR-ND,SC77AAB,Bourns Inc.,"SMD HC TCO, 77C, LOW HEIGHT",4899,0,"Digi-Reel","0","1","SC","Active","77°F (25°C)","171°F (77°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://us.schurter.com/pdf/english/typ_RTS.pdf,//media.digikey.com/Photos/Schurter%20Photos/MFG_RTS-AC750.jpg,486-4149-2-ND,3-104-514,Schurter Inc.,SMD REFLOWABLE THERMAL FUSE FOR,3000,0,"1.28300","0","750","RTS","Active","-","-","-","60V","-","UL","-","2-SMD, No Lead"
https://us.schurter.com/pdf/english/typ_RTS.pdf,//media.digikey.com/Photos/Schurter%20Photos/MFG_RTS-AC750.jpg,486-4149-1-ND,3-104-514,Schurter Inc.,SMD REFLOWABLE THERMAL FUSE FOR,3622,0,"2.70000","0","1","RTS","Active","-","-","-","60V","-","UL","-","2-SMD, No Lead"
https://us.schurter.com/pdf/english/typ_RTS.pdf,//media.digikey.com/Photos/Schurter%20Photos/MFG_RTS-AC750.jpg,486-4149-6-ND,3-104-514,Schurter Inc.,SMD REFLOWABLE THERMAL FUSE FOR,3622,0,"Digi-Reel","0","1","RTS","Active","-","-","-","60V","-","UL","-","2-SMD, No Lead"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC72AAATR-ND,SC72AAA,Bourns Inc.,"SMD HC TCO, 72C, REINFORCED COVE",0,0,"0.52000","0","5000","SC","Active","77°F (25°C)","162°F (72°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC72AAACT-ND,SC72AAA,Bourns Inc.,"SMD HC TCO, 72C, REINFORCED COVE",4990,0,"1.41000","0","1","SC","Active","77°F (25°C)","162°F (72°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC72AAADKR-ND,SC72AAA,Bourns Inc.,"SMD HC TCO, 72C, REINFORCED COVE",4990,0,"Digi-Reel","0","1","SC","Active","77°F (25°C)","162°F (72°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC85AAATR-ND,SC85AAA,Bourns Inc.,"SMD HC TCO, 85C, REINFORCED COVE",0,0,"0.52000","0","5000","SC","Active","77°F (25°C)","185°F (85°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC85AAACT-ND,SC85AAA,Bourns Inc.,"SMD HC TCO, 85C, REINFORCED COVE",4990,0,"1.41000","0","1","SC","Active","77°F (25°C)","185°F (85°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC85AAADKR-ND,SC85AAA,Bourns Inc.,"SMD HC TCO, 85C, REINFORCED COVE",4990,0,"Digi-Reel","0","1","SC","Active","77°F (25°C)","185°F (85°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC82AAATR-ND,SC82AAA,Bourns Inc.,"SMD HC TCO, 82C, REINFORCED COVE",0,0,"0.52000","0","5000","SC","Active","77°F (25°C)","180°F (82°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC82AAACT-ND,SC82AAA,Bourns Inc.,"SMD HC TCO, 82C, REINFORCED COVE",4978,0,"1.41000","0","1","SC","Active","77°F (25°C)","180°F (82°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC82AAADKR-ND,SC82AAA,Bourns Inc.,"SMD HC TCO, 82C, REINFORCED COVE",4978,0,"Digi-Reel","0","1","SC","Active","77°F (25°C)","180°F (82°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC77AAATR-ND,SC77AAA,Bourns Inc.,"SMD HC TCO, 77C, REINFORCED COVE",0,0,"0.52000","0","5000","SC","Active","77°F (25°C)","171°F (77°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC77AAACT-ND,SC77AAA,Bourns Inc.,"SMD HC TCO, 77C, REINFORCED COVE",4900,0,"1.41000","0","1","SC","Active","77°F (25°C)","171°F (77°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
https://www.bourns.com/docs/Product-Datasheets/SC.pdf,-,SC77AAADKR-ND,SC77AAA,Bourns Inc.,"SMD HC TCO, 77C, REINFORCED COVE",4900,0,"Digi-Reel","0","1","SC","Active","77°F (25°C)","171°F (77°C)","-","28V","25A","cUL, TUV, UL","-","Nonstandard SMD"
http://www.vishay.com/docs/28850/hctfcp.pdf,//media.digikey.com/Photos/Vishay%20Beyschlag%20Photos/MFG_HCTF235L150000BR00.JPG,749-1130-2-ND,HCTF235L150000BR00,Vishay Beyschlag,TCO 24V 50A 235C (455F) AXIAL,0,0,"3.22668","0","750","HCTF","Active","160°C (320°F)","235°C (455°F)","-","24V","50A","-","-","Axial"
http://www.vishay.com/docs/28850/hctfcp.pdf,//media.digikey.com/Photos/Vishay%20Beyschlag%20Photos/MFG_HCTF235L150000BR00.JPG,749-1130-1-ND,HCTF235L150000BR00,Vishay Beyschlag,TCO 24V 50A 235C (455F) AXIAL,715,0,"7.10000","0","1","HCTF","Active","160°C (320°F)","235°C (455°F)","-","24V","50A","-","-","Axial"
http://www.vishay.com/docs/28798/hctf.pdf,//media.digikey.com/Photos/Vishay%20Beyschlag%20Photos/MFG_HCTF235L055000BR00.JPG,749-1129-2-ND,HCTF235L055000BR00,Vishay Beyschlag,TCO 24V 55A 235C (455F) AXIAL,0,0,"3.44172","0","750","HCTF","Active","160°C (320°F)","235°C (455°F)","-","24V","55A","-","-","Axial"
http://www.vishay.com/docs/28798/hctf.pdf,//media.digikey.com/Photos/Vishay%20Beyschlag%20Photos/MFG_HCTF235L055000BR00.JPG,749-1129-1-ND,HCTF235L055000BR00,Vishay Beyschlag,TCO 24V 55A 235C (455F) AXIAL,664,0,"7.31000","0","1","HCTF","Active","160°C (320°F)","235°C (455°F)","-","24V","55A","-","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/Thermal_Cutoff_11x17_SEPT_2016.pdf,//media.digikey.com/Photos/Cantherm%20Photos/L50%20SERIES.jpg,317-1569-ND,L5007224DELB0XE,Cantherm,TCO 250VAC 15A 72C(162F) CYLNDR,57,0,"13.11000","0","1","L50","Active","50°C (122°F)","72°C (162°F)","250V","-","15A","-","110°C (230°F)","Cylinder, Wire Leads"
