Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filter Type","Size / Dimension","Height - Seated (Max)"
http://assets.lairdtech.com/home/brandworld/files/MP0512-200.pdf,//media.digikey.com/photos/Steward%20Photos/MP0512-200.jpg,240-2262-ND,MP0512-200,Laird-Signal Integrity Products,FERRITE EMI PLATE 13MMX13MMX2MM,25641,0,"0.42000","0","1","-","Active","Ferrite Plate","0.512"" L x 0.512"" W (13.00mm x 13.00mm)","0.079"" (2.00mm)"
http://assets.lairdtech.com/home/brandworld/files/MP1040-200.pdf,//media.digikey.com/photos/Steward%20Photos/MP1040-200.JPG,240-2267-ND,MP1040-200,Laird-Signal Integrity Products,FERRITE EMI PLT 26.42X26.42X1.91,44253,0,"0.73000","0","1","-","Active","Ferrite Plate","1.040"" L x 1.040"" W (26.42mm x 26.42mm)","0.075"" (1.91mm)"
http://assets.lairdtech.com/home/brandworld/files/MP0315-200.pdf,//media.digikey.com/photos/Steward%20Photos/MP0315-200.jpg,240-2259-ND,MP0315-200,Laird-Signal Integrity Products,FERRITE EMI PLATE 8MM X8MM X2MM,5481,0,"0.34000","0","1","-","Active","Ferrite Plate","0.315"" L x 0.315"" W (8.00mm x 8.00mm)","0.079"" (2.00mm)"
http://assets.lairdtech.com/home/brandworld/files/MP0350-000.pdf,//media.digikey.com/photos/Steward%20Photos/MP0350-000.jpg,240-2260-ND,MP0350-000,Laird-Signal Integrity Products,FERRITE EMI PLT 26.42X8.89X1.27,10774,0,"0.37000","0","1","-","Active","Ferrite Plate","1.040"" L x 0.350"" W (26.42mm x 8.89mm)","0.050"" (1.27mm)"
http://assets.lairdtech.com/home/brandworld/files/MP0433-000.pdf,//media.digikey.com/photos/Steward%20Photos/MP0433-000.jpg,240-2261-ND,MP0433-000,Laird-Signal Integrity Products,FERRITE EMI PLATE 11X11X1.96MM,18803,0,"0.38000","0","1","-","Active","Ferrite Plate","0.433"" L x 0.433"" W (11.00mm x 11.00mm)","0.077"" (1.95mm)"
http://assets.lairdtech.com/home/brandworld/files/MM0650-100.pdf,//media.digikey.com/photos/Steward%20Photos/MM0650-100.jpg,240-2252-ND,MM0650-100,Laird-Signal Integrity Products,FERRITE EMI DISC 16.51MMX1.27MM,13046,0,"0.38000","0","1","-","Active","Ferrite Disk","0.650"" Dia (16.51mm)","0.050"" (1.27mm)"
http://assets.lairdtech.com/home/brandworld/files/MP0591-200.pdf,//media.digikey.com/photos/Steward%20Photos/MP0591-200.jpg,240-2264-ND,MP0591-200,Laird-Signal Integrity Products,FERRITE EMI PLATE 15MMX15MMX2MM,5486,0,"0.43000","0","1","-","Active","Ferrite Plate","0.591"" L x 0.591"" W (15.00mm x 15.00mm)","0.079"" (2.00mm)"
http://assets.lairdtech.com/home/brandworld/files/MP0760-100.pdf,//media.digikey.com/photos/Steward%20Photos/MP0760-100.JPG,240-2265-ND,MP0760-100,Laird-Signal Integrity Products,FERRITE EMI PLATE 19.3X19.3X1.27,4996,0,"0.46000","0","1","-","Active","Ferrite Plate","0.760"" L x 0.760"" W (19.30mm x 19.30mm)","0.050"" (1.27mm)"
http://assets.lairdtech.com/home/brandworld/files/MM0787-200.pdf,"//media.digikey.com/photos/Steward%20Photos/HM0787-200,%20MM0787-200.jpg",240-2254-ND,MM0787-200,Laird-Signal Integrity Products,FERRITE EMI DISC 20MM X 1.91MM,3019,0,"0.49000","0","1","-","Active","Ferrite Disk","0.787"" Dia (20.00mm)","0.075"" (1.91mm)"
http://assets.lairdtech.com/home/brandworld/files/MP1040-100.pdf,//media.digikey.com/photos/Steward%20Photos/MP1040-100.JPG,240-2266-ND,MP1040-100,Laird-Signal Integrity Products,FERRITE EMI PLT 26.42X26.42X1.27,14725,0,"0.63000","0","1","-","Active","Ferrite Plate","1.040"" L x 1.040"" W (26.42mm x 26.42mm)","0.050"" (1.27mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19867,//media.digikey.com/Photos/Fair-Right/2644373841.JPG,1934-1295-ND,2644373841,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,6131,0,"0.81000","0","1","-","Active","Ferrite Plate","0.80"" L x 0.39"" W x 0.13"" H (20.3mm x 10.0mm x 3.2mm)","-"
http://assets.lairdtech.com/home/brandworld/files/MP1496-000.pdf,//media.digikey.com/photos/Steward%20Photos/MP1496-000.jpg,240-2268-ND,MP1496-000,Laird-Signal Integrity Products,FERRITE EMI PLATE 38MMX38MMX2MM,3428,0,"1.12000","0","1","-","Active","Ferrite Plate","1.496"" L x 1.496"" W (38.00mm x 38.00mm)","0.079"" (2.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/MP_33_Series.pdf,//media.digikey.com/photos/Steward%20Photos/MP1040-200.JPG,240-2776-ND,MP2126-0M0,Laird-Signal Integrity Products,FERRITE PLATE 53.80X53.80X1.1MM,504,0,"4.79000","0","1","MP","Active","Ferrite Plate","2.118"" L x 2.118"" W (53.80mm x 53.80mm)","0.043"" (1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/MP_33_Series.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/MP3940-0M0.JPG,240-2780-ND,MP3940-0M0,Laird-Signal Integrity Products,FERRITE PLATE 100MMX56MMX1.1MM,283,0,"7.82000","0","1","MP","Active","Ferrite Plate","3.937"" L x 2.205"" W (100.00mm x 56.00mm)","0.043"" (1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/MP_33_Series.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/33P3839-0M0.jpg,240-2774-ND,33P3839-0M0,Laird-Signal Integrity Products,FERRITE PLATE 97.5MMX50MMX1.1MM,1059,0,"8.19000","0","1","33","Active","Ferrite Plate","3.839"" L x 1.969"" W (97.50mm x 50.00mm)","0.043"" (1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/Ferrite_EMI_Disks_Plates.pdf,"//media.digikey.com/photos/Steward%20Photos/HM0787-100,%20MM0787-100.jpg",240-2248-ND,HM0787-100,Laird-Signal Integrity Products,FERRITE EMI DISC 20MM X 1.27MM,2069,0,"0.39000","0","1","-","Active","Ferrite Disk","0.787"" Dia (20.00mm)","0.050"" (1.27mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/Ferrite_EMI_Disks_Plates.pdf,//media.digikey.com/photos/Steward%20Photos/HP1040-200.JPG,240-2258-ND,HP1040-200,Laird-Signal Integrity Products,FERRITE EMI PLT 26.42X26.42X1.91,6707,0,"0.64000","0","1","-","Active","Ferrite Plate","1.040"" L x 1.040"" W (26.42mm x 26.42mm)","0.075"" (1.91mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/MP_33_Series.pdf,//media.digikey.com/photos/Steward%20Photos/MP1040-200.JPG,240-2778-ND,MP1496-0M0,Laird-Signal Integrity Products,FERRITE PLATE 38MMX38MMX2MM,396,0,"4.05000","0","1","MP","Active","Ferrite Plate","1.496"" L x 1.496"" W (38.00mm x 38.00mm)","0.079"" (2.00mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19837,-,1934-1098-ND,2644246701,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,36035,0,"0.27000","0","1","-","Active","Ferrite Plate","0.49"" L x 0.10"" W x 0.06"" H (12.5mm x 2.5mm x 1.5mm)","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19852,-,1934-1538-ND,2644247001,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,4501,0,"0.31000","0","1","-","Active","Ferrite Plate","0.493"" L x 0.194"" W (12.52mm x 4.94mm)","0.060"" (1.52mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19846,//media.digikey.com/Photos/Fair-Right/2644236101.JPG,1934-1290-ND,2644236101,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,4212,0,"0.38000","0","1","-","Active","Ferrite Plate","0.57"" L x 0.30"" W x 0.14"" H (14.4mm x 7.6mm x 3.4mm)","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19849,-,1934-1277-ND,2644236401,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,1308,0,"0.42000","0","1","-","Active","Ferrite Plate","0.57"" L x 0.30"" W x 0.27"" H (14.4mm x 7.6mm x 6.9mm)","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19855,-,1934-1063-ND,2644247101,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,12985,0,"0.49000","0","1","-","Active","Ferrite Plate","0.49"" L x 0.19"" W x 0.12"" H (12.5mm x 4.9mm x 3.0mm)","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19858,//media.digikey.com/Photos/Fair-Right/2644236301.JPG,1934-1289-ND,2644236301,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,2773,0,"0.53000","0","1","-","Active","Ferrite Plate","0.89"" L x 0.30"" W x 0.14"" H (22.6mm x 7.6mm x 3.4mm)","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19870,//media.digikey.com/Photos/Fair-Right/2644236001.JPG,1934-1282-ND,2644236001,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,1471,0,"0.79000","0","1","-","Active","Ferrite Plate","1.430"" L x 0.305"" W (36.32mm x 7.75mm)","0.135"" (3.43mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19861,-,1934-1270-ND,2644236501,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,1505,0,"0.87000","0","1","-","Active","Ferrite Plate","0.89"" L x 0.30"" W x 0.27"" H (22.6mm x 7.6mm x 6.9mm)","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19864,-,1934-1511-ND,2644373941,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,4895,0,"1.08000","0","1","-","Active","Ferrite Plate","0.850"" L x 0.459"" W (21.60mm x 11.65mm)","0.060"" (1.52mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/MP_33_Series.pdf,//media.digikey.com/photos/Steward%20Photos/MP1040-200.JPG,240-2777-ND,MP2106-0M0,Laird-Signal Integrity Products,FERRITE PLATE 53MMX53MMX2.5MM,66,0,"4.43000","0","1","MP","Active","Ferrite Plate","2.087"" L x 2.087"" W (53.00mm x 53.00mm)","0.098"" (2.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/MP_33_Series.pdf,//media.digikey.com/photos/Steward%20Photos/MP1040-200.JPG,240-2779-ND,MP1040-3M0,Laird-Signal Integrity Products,FERRITE PLATE 26.42X26.42X2.25MM,190,0,"3.36000","0","1","MP","Active","Ferrite Plate","1.040"" L x 1.040"" W (26.42mm x 26.42mm)","0.089"" (2.25mm)"
https://leadertechinc.com/wp-content/uploads/2016/01/1-4.jpg,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SB28B0010AT.jpg,1798-1165-ND,SB28B0010AT,Leader Tech Inc.,"FERRITE, .125"" DIA SADDLE BEAD W",67,0,"4.19000","0","1","Saddle Beads®","Active","Ferrite Plate","0.598"" L x 0.327"" W (15.20mm x 8.30mm)","0.163"" (4.14mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19873,-,1934-1211-ND,2644236601,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,680,0,"1.30000","0","1","-","Active","Ferrite Plate","1.43"" L x 0.30"" W x 0.27"" H (36.3mm x 7.6mm x 6.9mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/MP_33_Series.pdf,//media.digikey.com/photos/Steward%20Photos/HP1040-200.JPG,240-2773-ND,33P2098-0M0,Laird-Signal Integrity Products,FERRITE PLATE 53.3X53.3X2.5MM,0,0,"4.54000","0","1","33","Active","Ferrite Plate","2.098"" L x 2.098"" W (53.30mm x 53.30mm)","0.098"" (2.50mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19843,//media.digikey.com/Photos/Fair-Right/2644245701.JPG,1934-1025-ND,2644245701,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,0,0,"0.23000","0","1","-","Active","Ferrite Plate","0.29"" L x 0.19"" W x 0.06"" H (7.4mm x 4.9mm x 1.5mm)","-"
-,-,732-14018-ND,7427417,Wurth Electronics Inc.,WE-CPU EMI SUPPRESSION CPU FERRI,0,0,"3.23000","0","1","*","Active","-","-","-"
https://assets.lairdtech.com/home/brandworld/files/ferrite%20rods.pdf,-,28M0079-000-ND,28M0079-000,Laird-Signal Integrity Products,"ROD,SLD,BB,CSNO 10X2MM",0,0,"0.00749","0","120000","-","Active","-","-","-"
https://assets.lairdtech.com/home/brandworld/files/ferrite%20rods.pdf,-,28M0118-000-ND,28M0118-000,Laird-Signal Integrity Products,"ROD,SLD,BB,CSNO 12X3MM",0,0,"0.01063","0","67500","-","Active","-","-","-"
https://assets.lairdtech.com/home/brandworld/files/ferrite%20rods.pdf,-,28M0158-000-ND,28M0158-000,Laird-Signal Integrity Products,"ROD,SLD,BB,CSNO 15X4MM",0,0,"0.01985","0","40000","-","Active","-","-","-"
https://assets.lairdtech.com/home/brandworld/files/Catalog_EMI%20FILTERING%20RF%200717.pdf,-,MP0315-2B0-ND,MP0315-2B0,Laird-Signal Integrity Products,FERRITE PLATE 8MMX8MMX2MM,0,0,"0.03868","0","17820","MP","Active","Ferrite Plate","0.315"" L x 0.315"" W (8.00mm x 8.00mm)","0.079"" (2.00mm)"
https://assets.lairdtech.com/home/brandworld/files/ferrite%20rods.pdf,-,28M0197-000-ND,28M0197-000,Laird-Signal Integrity Products,"ROD,SLD,BB,CSNO 20X5MM",0,0,"0.04166","0","20000","-","Active","-","-","-"
https://assets.lairdtech.com/home/brandworld/files/ferrite%20rods.pdf,-,28M0177-400-ND,28M0177-400,Laird-Signal Integrity Products,"ROD,SLD,BB,CSNO 21.4X4.5MM",0,0,"0.04257","0","20000","-","Active","-","-","-"
