Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Stacks","Lamp Type","Light Color","Function","Voltage - Supply","Features","Termination Style","Ingress Protection","Operating Temperature"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50BC.jpg,HM1631-ND,PBR50BC,Hammond Manufacturing,CONNECTION BASE WITH END COVER,27,4,"33.48000","0","1","PBR","Active","Connection Base with End Cover","-","-","-","-","-","-","-","IP54 - Dust Protected, Water Resistant","-25°C ~ 45°C"
http://www.altechcorp.com/towerlights/TowerLights_IF-Series.pdf,//media.digikey.com/Photos/Altech-Corporation/IF5P024ZM05-1.JPG,1920-2054-ND,IF5P024ZM05-1,Altech Corporation,MULTI-COLOR LEDPLC APP 24V DC MU,10,87,"74.12000","0","1","-","Active","Optical Element","1","LED","Blue, Green, Red, White, Yellow","Buzzer, Flashing, Steady","24VDC","-","Wire Leads","IP65 - Dust Tight, Water Resistant","-5°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700114_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700114.jpg,277-12020-ND,2700114,Phoenix Contact,OPTIC ELEMENT RED LED FLASHING,12,36,"88.00000","0","1","PSD-S","Active","Optical Element","1","LED","Red","Flashing","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
https://www.mspindy.com/Specifications/JT028-RG-CS.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_2StackRGPole.jpg,458-1511-ND,JT028-RG-CS,Mallory Sonalert Products Inc.,COMPLETE UNIT GN/RD LED 2 STACK,2,0,"128.02000","0","1","JT Stack Light","Active","Complete Unit","2","LED","Green, Red","Steady","24VAC/DC","-","Wire Leads","NEMA 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-RYG-CD.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_3StackRYGDirect.jpg,458-1495-ND,JT028-RYG-CD,Mallory Sonalert Products Inc.,COMPLETE UNIT GN/RD/YL 3 STACK,3,0,"132.29000","0","1","JT Stack Light","Active","Complete Unit","3","LED","Green, Red, Yellow","Steady","24VAC/DC","-","Wire Leads","NEMA 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT120-RYG-CD.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_3StackRYGDirect.jpg,458-1499-ND,JT120-RYG-CD,Mallory Sonalert Products Inc.,COMPLETE UNIT GN/RD/YL 3 STACK,2,0,"164.70000","0","1","JT Stack Light","Active","Complete Unit","3","LED","Green, Red, Yellow","Steady","120VAC","-","Wire Leads","NEMA 3R, 4X, 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-RYG-CDL.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_3StackRYGDirect.jpg,458-1493-ND,JT028-RYG-CDL,Mallory Sonalert Products Inc.,COMPLETE UNIT GN/RD/YL 3 STACK,4,0,"180.44000","0","1","JT Stack Light","Active","Complete Unit","3","LED","Green, Red, Yellow","Steady Lighting, Multiple Tone","24VAC/DC","Alarm","Wire Leads","NEMA 12","-25°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700156.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700156.jpg,277-12059-ND,2700156,Phoenix Contact,MOUNTING BASE,14,170,"37.00000","0","1","PSD-S","Active","Mounting Base","-","-","-","-","-","Integrated Tube","-","-","-20°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700093.pdf,//media.digikey.com/photos/Phoenix%20Photos/2700093.jpg,277-9241-ND,2700093,Phoenix Contact,CONNECTION BASE WITH END COVER,10,27,"44.50000","0","1","PSD-S","Active","Connection Base with End Cover","-","-","-","-","12 ~ 240VAC/DC","-","Screw Terminal","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
http://www.rafi.de/fileadmin/user_upload/Unternehmen/Downloadcenter/Flyer-und-Broschueren/PDFs_EN/RAFI_Brochure_Tilted_Diamond_plus_EN.pdf,//media.digikey.com/Photos/RAFI%20USA/1.69.010.002%5E1600.JPG,1715-1709-ND,1.69.010.002/1600,RAFI USA,OPTIC ELEMENT BLUE LED STEADY,7,0,"81.74000","0","1","Tilted Diamond+","Active","Optical Element","-","LED","Blue","Steady","24VAC/DC","-","Spring Terminal","IP65 - Dust Tight, Water Resistant","-30°C ~ 60°C"
http://www.rafi.de/fileadmin/user_upload/Unternehmen/Downloadcenter/Flyer-und-Broschueren/PDFs_EN/RAFI_Brochure_Tilted_Diamond_plus_EN.pdf,//media.digikey.com/Photos/RAFI%20USA/1.69.010.002%5E1400.JPG,1715-1707-ND,1.69.010.002/1400,RAFI USA,OPTIC ELEMENT YELLOW LED STEADY,6,0,"81.74000","0","1","Tilted Diamond+","Active","Optical Element","-","LED","Yellow","Steady","24VAC/DC","-","Spring Terminal","IP65 - Dust Tight, Water Resistant","-30°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-R-CD.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_1StackRDirect.jpg,458-1490-ND,JT028-R-CD,Mallory Sonalert Products Inc.,COMPLETE UNIT RED LED STEADY,3,0,"84.28000","0","1","JT Stack Light","Active","Complete Unit","1","LED","Red","Steady","24VAC/DC","-","Wire Leads","NEMA 12","-25°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700139_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700139.jpg,277-12045-ND,2700139,Phoenix Contact,ACOUSTIC ELEMENT SIREN,3,0,"88.00000","0","1","PSD-S","Active","Acoustic Element","1","-","-","Siren, Alternating Continuous Tone","24VDC","-","-","IP40","-30°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700123.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700123.jpg,277-12025-ND,2700123,Phoenix Contact,OPTIC ELEMENT YELLOW LED FLASH,2,0,"88.00000","0","1","PSD-S","Active","Optical Element","1","LED","Yellow","Flashing","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
https://www.mspindy.com/Specifications/JT028-R-CS.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_1StackRPole.jpg,458-1489-ND,JT028-R-CS,Mallory Sonalert Products Inc.,COMPLETE UNIT RED LED STEADY,3,0,"105.62000","0","1","JT Stack Light","Active","Complete Unit","1","LED","Red","Steady","24VAC/DC","-","Wire Leads","NEMA 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-RG-CD.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_2StackRGDirect.jpg,458-1512-ND,JT028-RG-CD,Mallory Sonalert Products Inc.,COMPLETE UNIT GRN/RD LED 2STACK,2,0,"109.88000","0","1","JT Stack Light","Active","Complete Unit","2","LED","Green, Red","Steady","24VAC/DC","-","Wire Leads","NEMA 12","-25°C ~ 60°C"
http://www.rafi.de/fileadmin/user_upload/Unternehmen/Downloadcenter/Flyer-und-Broschueren/PDFs_EN/RAFI_Brochure_Tilted_Diamond_plus_EN.pdf,//media.digikey.com/Photos/RAFI%20USA/1.69.010.003%5E1300.jpg,1715-1710-ND,1.69.010.003/1300,RAFI USA,OPTIC ELEMENT RED LED STEADY,5,0,"116.00000","0","1","Tilted Diamond+","Active","Optical Element","1","LED","Red","Steady","24VAC/DC","-","M12","IP65 - Dust Tight, Water Resistant","-30°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700132.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700132.jpg,277-12033-ND,2700132,Phoenix Contact,OPTIC ELEMENT BLUE LED FLASHING,3,0,"126.00000","0","1","PSD-S","Active","Optical Element","1","LED","Blue","Flashing","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
https://www.mspindy.com/Specifications/JT028-R-CDL.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_1StackRDirect.jpg,458-1488-ND,JT028-R-CDL,Mallory Sonalert Products Inc.,COMPLETE UNIT RED LED STEADY,2,0,"132.29000","0","1","JT Stack Light","Active","Complete Unit","1","LED","Red","Steady Lighting, Multiple Tone","24VAC/DC","Alarm","Wire Leads","NEMA 12","-25°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700141_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700141.jpg,277-12047-ND,2700141,Phoenix Contact,ACOUSTIC ELEMENT SIREN,3,0,"144.00000","0","1","PSD-S","Active","Acoustic Element","1","-","-","Siren, Multiple Tone","24VDC","Adjustable Volume","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
https://www.mspindy.com/Specifications/JT120-R-CS.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_1StackRPole.jpg,458-1508-ND,JT120-R-CS,Mallory Sonalert Products Inc.,COMPLETE UNIT RED LED STEADY,3,0,"144.02000","0","1","JT Stack Light","Active","Complete Unit","1","LED","Red","Steady","120VAC","-","Wire Leads","NEMA 3R, 4X, 12","-25°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700116.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700116.jpg,277-12022-ND,2700116,Phoenix Contact,OPTIC ELEMENT RED LED ROTATING,3,0,"150.00000","0","1","PSD-S","Active","Optical Element","1","LED","Red","Rotating","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
https://www.mspindy.com/Specifications/JT028-R-CSL.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_1StackRPole.jpg,458-1487-ND,JT028-R-CSL,Mallory Sonalert Products Inc.,COMPLETE UNIT RED LED STEADY,5,0,"151.06000","0","1","JT Stack Light","Active","Complete Unit","1","LED","Red","Steady Lighting, Multiple Tone","24VAC/DC","Alarm","Wire Leads","NEMA 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-RG-CDL.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_2StackRGDirect.jpg,458-1510-ND,JT028-RG-CDL,Mallory Sonalert Products Inc.,COMPLETE UNIT GRN/RD LED 2STACK,2,0,"155.26000","0","1","JT Stack Light","Active","Complete Unit","2","LED","Green, Red","Steady Lighting, Multiple Tone","24VAC/DC","Alarm","Wire Leads","NEMA 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-RY-CSL.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_2StackRYPole.jpg,458-1513-ND,JT028-RY-CSL,Mallory Sonalert Products Inc.,COMPLETE UNIT RD/YLW LED 2 STACK,5,0,"176.24000","0","1","JT Stack Light","Active","Complete Unit","2","LED","Red, Yellow","Steady Lighting, Multiple Tone","24VAC/DC","Alarm","Wire Leads","NEMA 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-RG-CSL.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_2StackRGPole.jpg,458-1509-ND,JT028-RG-CSL,Mallory Sonalert Products Inc.,COMPLETE UNIT GRN/RD LED 2 STACK,2,0,"176.24000","0","1","JT Stack Light","Active","Complete Unit","2","LED","Green, Red","Steady Lighting, Multiple Tone","24VAC/DC","Alarm","Wire Leads","NEMA 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-RYGB-CD.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_4StackRYGBDirect.jpg,458-1503-ND,JT028-RYGB-CD,Mallory Sonalert Products Inc.,COMPLETE UNIT BL/GN/RD/YL 4STACK,2,0,"180.44000","0","1","JT Stack Light","Active","Complete Unit","4","LED","Blue, Green, Red, Yellow","Steady","24VAC/DC","-","Wire Leads","NEMA 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-RYGB-CS.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_4StackRYGBPole.jpg,458-1502-ND,JT028-RYGB-CS,Mallory Sonalert Products Inc.,COMPLETE UNIT B/G/R/Y LED 4STACK,2,0,"198.27000","0","1","JT Stack Light","Active","Complete Unit","4","LED","Blue, Green, Red, Yellow","Steady","24VAC/DC","-","Wire Leads","NEMA 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT120-RYG-CDL.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_3StackRYGDirect.jpg,458-1497-ND,JT120-RYG-CDL,Mallory Sonalert Products Inc.,COMPLETE UNIT GN/RD/YL 3 STACK,4,0,"218.20000","0","1","JT Stack Light","Active","Complete Unit","3","LED","Green, Red, Yellow","Steady Lighting, Multiple Tone","120VAC","Alarm","Wire Leads","NEMA 3R, 4X, 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-RYGBC-CD.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_5StackRYGBCDirect.jpg,458-1507-ND,JT028-RYGBC-CD,Mallory Sonalert Products Inc.,COMPLETE UNIT B/G/R/W/Y 5STACK,5,0,"230.79000","0","1","JT Stack Light","Active","Complete Unit","5","LED","Blue, Green, Red, White, Yellow","Steady","24VAC/DC","-","Wire Leads","NEMA 12","-25°C ~ 60°C"
http://www.rafi.de/fileadmin/user_upload/Unternehmen/Downloadcenter/Flyer-und-Broschueren/PDFs_EN/RAFI_Brochure_Tilted_Diamond_plus_EN.pdf,//media.digikey.com/Photos/RAFI%20USA/1.69.010.003%5E1400.JPG,1715-1711-ND,1.69.010.003/1400,RAFI USA,OPTIC ELEMENT YELLOW LED STEADY,5,0,"116.00000","0","1","Tilted Diamond+","Active","Optical Element","1","LED","Yellow","Steady","24VAC/DC","-","M12","IP65 - Dust Tight, Water Resistant","-30°C ~ 60°C"
http://www.rafi.de/fileadmin/user_upload/Unternehmen/Downloadcenter/Flyer-und-Broschueren/PDFs_EN/RAFI_Brochure_Tilted_Diamond_plus_EN.pdf,//media.digikey.com/Photos/RAFI%20USA/1.69.010.003%5E1500.JPG,1715-1712-ND,1.69.010.003/1500,RAFI USA,OPTIC ELEMENT GREEN LED STEADY,5,0,"116.00000","0","1","Tilted Diamond+","Active","Optical Element","1","LED","Green","Steady","24VAC/DC","-","M12","IP65 - Dust Tight, Water Resistant","-30°C ~ 60°C"
http://www.rafi.de/fileadmin/user_upload/Unternehmen/Downloadcenter/Flyer-und-Broschueren/PDFs_EN/RAFI_Brochure_Tilted_Diamond_plus_EN.pdf,//media.digikey.com/Photos/RAFI%20USA/5.05.525.144%5E0000.JPG,1715-1714-ND,5.05.525.144/0000,RAFI USA,EXTENSION BAR 250MM,2,0,"123.75000","0","1","Tilted Diamond+","Active","Tube","-","-","-","-","-","-","-","-","-"
http://www.rafi.de/fileadmin/user_upload/Unternehmen/Downloadcenter/Flyer-und-Broschueren/PDFs_EN/RAFI_Brochure_Tilted_Diamond_plus_EN.pdf,//media.digikey.com/Photos/RAFI%20USA/5.05.525.146%5E0000.JPG,1715-1715-ND,5.05.525.146/0000,RAFI USA,EXTENSION BAR 90,2,0,"123.75000","0","1","Tilted Diamond+","Active","Tube","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700125.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700125.jpg,277-12027-ND,2700125,Phoenix Contact,OPTIC ELEMENT YLW LED ROTATING,4,0,"150.00000","0","1","PSD-S","Active","Optical Element","1","LED","Yellow","Rotating","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50BG.jpg,HM1643-ND,PBR50L115,Hammond Manufacturing,BULB LIGHT 115VDC 7W,48,0,"7.02000","0","1","PBR","Active","Bulb","-","-","-","-","115VDC","-","-","-","-25°C ~ 45°C"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50CLAM.jpg,HM1636-ND,PBR50CLAM,Hammond Manufacturing,OPTIC ELEMENT AMBER LED STEADY,24,3,"26.77000","0","1","PBR","Active","Optical Element","1","LED","Amber","Steady","230VAC, 24VDC","-","-","IP54 - Dust Protected, Water Resistant","-25°C ~ 45°C"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50CLRE.jpg,HM1640-ND,PBR50CLRE,Hammond Manufacturing,OPTIC ELEMENT RED LED STEADY,8,0,"26.77000","0","1","PBR","Active","Optical Element","1","LED","Red","Steady","230VAC, 24VDC","-","-","IP54 - Dust Protected, Water Resistant","-25°C ~ 45°C"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50CLBL.jpg,HM1637-ND,PBR50CLBL,Hammond Manufacturing,OPTIC ELEMENT BLUE LED STEADY,7,2,"26.77000","0","1","PBR","Active","Optical Element","1","LED","Blue","Steady","230VAC, 24VDC","-","-","IP54 - Dust Protected, Water Resistant","-25°C ~ 45°C"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50BG.jpg,HM1646-ND,PBR50LED24,Hammond Manufacturing,BULB LED LIGHT 24V,20,2,"42.82000","0","1","PBR","Active","Bulb","-","LED","-","-","24VDC","-","-","-","-25°C ~ 45°C"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50BG.jpg,HM1645-ND,PBR50LED115,Hammond Manufacturing,BULB LED LIGHT 115V,6,3,"42.82000","0","1","PBR","Active","Bulb","-","LED","-","-","115VDC","-","-","-","-25°C ~ 45°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700122_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2700122.JPG,277-9243-ND,2700122,Phoenix Contact,OPTIC ELEMENT YELLOW LED STEADY,9,23,"75.00000","0","1","PSD-S","Active","Optical Element","1","LED","Yellow","Steady","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700131_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700131.jpg,277-16701-ND,2700131,Phoenix Contact,OPTIC ELEMENT BLUE LED STEADY,4,0,"120.00000","0","1","PSD-S","Active","Optical Element","1","LED","Blue","Steady","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
http://us.idec.com/Common/Download.aspx?d=358425,//media.digikey.com/photos/IDEC/MFG_LD6A-0PZQB.jpg,1885-1400-ND,LD6A-0PZQB,IDEC,LED TOWER BASE POLE MOUNT,2,0,"159.23000","0","1","LD6A","Active","Connection Base with End Cover","-","-","-","Flashing, Steady","-","Alarm","Screw Terminal","IP54 - Dust Protected, Water Resistant","-25°C ~ 55°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700121.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700121.jpg,277-12024-ND,2700121,Phoenix Contact,OPTIC ELEMENT GREEN LED FLASHING,5,0,"88.00000","0","1","PSD-S","Active","Optical Element","1","LED","Green","Flashing","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700147.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700147.jpg,277-12050-ND,2700147,Phoenix Contact,LABELING PANEL,5,0,"89.00000","0","1","PSD-S","Active","Labeling Panel","-","-","-","-","-","-","-","-","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700127.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700127.jpg,277-12029-ND,2700127,Phoenix Contact,OPTIC ELEMENT CLEAR LED STEADY,4,0,"120.00000","0","1","PSD-S","Active","Optical Element","1","LED","Clear","Steady","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700128.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700128.jpg,277-12030-ND,2700128,Phoenix Contact,OPTIC ELEMENT CLEAR LED FLASHING,5,0,"126.00000","0","1","PSD-S","Active","Optical Element","1","LED","Clear","Flashing","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700115.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700115.jpg,277-12021-ND,2700115,Phoenix Contact,OPTIC ELEMENT RED LED DBL FLASH,5,0,"181.00000","0","1","PSD-S","Active","Optical Element","1","LED","Red","Double Flashing","24VDC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700124.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700124.jpg,277-12026-ND,2700124,Phoenix Contact,OPTIC ELEMENT YLW LED DBL FLASH,2,0,"181.00000","0","1","PSD-S","Active","Optical Element","1","LED","Yellow","Double Flashing","24VDC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700137_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700137.jpg,277-12043-ND,2700137,Phoenix Contact,ACOUSTIC ELEMENT SIREN,5,0,"191.00000","0","1","PSD-S","Active","Acoustic Element","1","-","-","Siren, Pulse Tone","24VDC","Automatic Volume Control","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
