Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Kit Contents"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/RJ11.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-8.jpg,PN-DESIGNKIT-8-ND,PN-DESIGNKIT-8,Bourns Inc.,CIRC PRTCT KIT RJ11 FAX/MOD 15PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","RJ11 Fax/Modem","15 pcs - 3 values"
-,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-9.jpg,PN-DESIGNKIT-9-ND,PN-DESIGNKIT-9,Bourns Inc.,CIRC PRTCT KIT VDSL 15PC,0,0,"Obsolete","0","1","Plastic Box with Bin Guide","PortNote™","Obsolete","VDSL","15 pcs - 3 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-10.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-10.jpg,PN-DESIGNKIT-10-ND,PN-DESIGNKIT-10,Bourns Inc.,CIRC PRTCT KIT ISDN 40PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","ISDN","40 pcs - 2 value"
-,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-11.jpg,PN-DESIGNKIT-11-ND,PN-DESIGNKIT-11,Bourns Inc.,CIRC PRTCT KIT HDMI 1.3 ESD 20PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","HDMI 1.3 ESD, OC","20 pcs - 3 values"
-,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-12.jpg,PN-DESIGNKIT-12-ND,PN-DESIGNKIT-12,Bourns Inc.,CIRC PRTCT KIT HDMI 1.4 ESD 50PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","HDMI 1.4 ESD, OC","50 pcs - 2 values"
-,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-13.jpg,PN-DESIGNKIT-13-ND,PN-DESIGNKIT-13,Bourns Inc.,CIRC PRTCT KIT T1/E1 20PC,0,0,"Obsolete","0","1","Plastic Box with Bin Guide","PortNote™","Obsolete","T1/E1","20 pcs - 2 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-15.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-15.jpg,PN-DESIGNKIT-15-ND,PN-DESIGNKIT-15,Bourns Inc.,CIRC PRT KIT SURGE SUPPRES 30PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Surge Suppression","30 pcs - 3 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-16.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-16.jpg,PN-DESIGNKIT-16-ND,PN-DESIGNKIT-16,Bourns Inc.,CIRC PRT KIT SURGE SUPPRES 30PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Surge Suppression","30 pcs - 3 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-18.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-18.jpg,PN-DESIGNKIT-18-ND,PN-DESIGNKIT-18,Bourns Inc.,CIRC PRTCT KIT VDSL 10PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","VDSL","10 pcs - 2 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-19.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-19.jpg,PN-DESIGNKIT-19-ND,PN-DESIGNKIT-19,Bourns Inc.,CIRC PRTCT KIT VDSL 25PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","VDSL","25 pcs - 4 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-20.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-20.jpg,PN-DESIGNKIT-20-ND,PN-DESIGNKIT-20,Bourns Inc.,CIRC PRTCT KIT SLIC PROT 15PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","SLIC Protection","15 pcs - 2 values"
-,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-25.jpg,PN-DESIGNKIT-25-ND,PN-DESIGNKIT-25,Bourns Inc.,CIRC PRT FIREWRE/ILINK PROT 25PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Firewire, iLink Protection","25 pcs - 2 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-26.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-26.jpg,PN-DESIGNKIT-26-ND,PN-DESIGNKIT-26,Bourns Inc.,CIRC PRT KIT SURGE SUPPRES 30PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Surge Suppression","30 pcs - 3 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-27.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-27.jpg,PN-DESIGNKIT-27-ND,PN-DESIGNKIT-27,Bourns Inc.,CIRC PRTCT KIT HD-SDI/COAX 15PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","HD-SDI, SDI Coaxial Port","15 pcs - 3 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-28.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-28.jpg,PN-DESIGNKIT-28-ND,PN-DESIGNKIT-28,Bourns Inc.,CIRC PRT SATA HDD/PWR PROT 15PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","SATA HDD Interface Data, Power Protection","15 pcs - 3 values"
-,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-30.jpg,PN-DESIGNKIT-30-ND,PN-DESIGNKIT-30,Bourns Inc.,CIRC PRTCT KIT ESD PROT 20PC,0,0,"Obsolete","0","1","Plastic Box with Bin Guide","PortNote™","Obsolete","ESD Protection","20 pcs - 2 values"
-,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-31.jpg,PN-DESIGNKIT-31-ND,PN-DESIGNKIT-31,Bourns Inc.,CIRC PRTCT KIT USB 1.2 20PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","USB 1.2","20 pcs - 3 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-32.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-32.jpg,PN-DESIGNKIT-32-ND,PN-DESIGNKIT-32,Bourns Inc.,CIRC PRTCT KIT USB 3.0 10PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","USB 3.0","10 pcs - 2 values"
-,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-34.jpg,PN-DESIGNKIT-34-ND,PN-DESIGNKIT-34,Bourns Inc.,CIRC PRTCT KIT ETHERNET POE 25PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Ethernet PoE","25 pcs - 4 values"
-,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-35.jpg,PN-DESIGNKIT-35-ND,PN-DESIGNKIT-35,Bourns Inc.,CIRC PRTCT KIT ETHERNET POE 15PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Ethernet PoE","15 pcs - 3 values"
https://www.bourns.com/docs/portnote/bourns_vdsl_driver_side_prot_portnote.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-36.jpg,PN-DESIGNKIT-36-ND,PN-DESIGNKIT-36,Bourns Inc.,CIRC PRTCT KIT VDSL 15PC,0,0,"Obsolete","0","1","Plastic Box with Bin Guide","PortNote™","Obsolete","VDSL","15 pcs - 3 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PortNote_SatelliteRecRF.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-37.jpg,PN-DESIGNKIT-37-ND,PN-DESIGNKIT-37,Bourns Inc.,CIRC PRT KIT SURGE SUPPRES 10PC,0,0,"Obsolete","0","1","Plastic Box with Bin Guide","PortNote™","Obsolete","Surge Suppression","10 pcs - 2 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-33.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-33.jpg,PN-DESIGNKIT-33-ND,PN-DESIGNKIT-33,Bourns Inc.,CIRC PRTCT KIT ESD PROT 15PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","ESD Protection","15 pcs - 3 values"
-,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-38.jpg,PN-DESIGNKIT-38-ND,PN-DESIGNKIT-38,Bourns Inc.,CIRC PRTCT KIT SLIC PROT 3PC,0,0,"Obsolete","0","1","Plastic Box with Bin Guide","PortNote™","Obsolete","SLIC Protection","3 pcs - 2 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-39.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-39.jpg,PN-DESIGNKIT-39-ND,PN-DESIGNKIT-39,Bourns Inc.,CIRC PRTCT KIT SLIC PROT 2PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","SLIC Protection","2 pcs - 2 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-40.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-40.jpg,PN-DESIGNKIT-40-ND,PN-DESIGNKIT-40,Bourns Inc.,CIRC PRTCT KIT T1/E1 10PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","T1/E1","10 pcs - 4 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-42.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-42.jpg,PN-DESIGNKIT-42-ND,PN-DESIGNKIT-42,Bourns Inc.,CIRC PRTCT KIT SLIC PROT 3PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","SLIC Protection","3 pcs - 2 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-43.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-43.jpg,PN-DESIGNKIT-43-ND,PN-DESIGNKIT-43,Bourns Inc.,CIRC PRTCT KIT VDSL 5PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","VDSL","5 pcs - 3 values"
-,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-44.jpg,PN-DESIGNKIT-44-ND,PN-DESIGNKIT-44,Bourns Inc.,CIRC PRTCT KIT ETHERNET POE 12PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Ethernet PoE","12 pcs - 5 values"
-,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-45.jpg,PN-DESIGNKIT-45-ND,PN-DESIGNKIT-45,Bourns Inc.,CIRC PRT KIT SURGE SUPPRES 17PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Surge Suppression","17 pcs - 4 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-46.pdf,-,PN-DESIGNKIT-46-ND,PN-DESIGNKIT-46,Bourns Inc.,CIRC PRTCT KIT SURGE SUPPRES 4PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Surge Suppression","4 pcs - 4 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-50.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-50.jpg,PN-DESIGNKIT-50-ND,PN-DESIGNKIT-50,Bourns Inc.,CIRC PRTCT KIT VDSL 3PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","VDSL","3 pcs - 3 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-48.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-48.jpg,PN-DESIGNKIT-48-ND,PN-DESIGNKIT-48,Bourns Inc.,CIRC PRTCT KIT HDMI 2.0 ESD 4PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","HDMI 2.0 ESD, OC","4 pcs - 3 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-49.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-49.jpg,PN-DESIGNKIT-49-ND,PN-DESIGNKIT-49,Bourns Inc.,CIRC PRTCT KIT SLIC PROT 3PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","SLIC Protection","3 pcs - 2 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-55.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-55.JPG,PN-DESIGNKIT-55-ND,PN-DESIGNKIT-55,Bourns Inc.,CIRC PRTCT KIT SURGE SUPPRS 1 PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Surge Suppression","1 pc - 1 value"
-,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-54.jpg,PN-DESIGNKIT-54-ND,PN-DESIGNKIT-54,Bourns Inc.,CIRC PRTCT KIT ETHERNET POE 5PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Ethernet PoE","5 pcs - 2 values"
-,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-57.jpg,PN-DESIGNKIT-57-ND,PN-DESIGNKIT-57,Bourns Inc.,CIRC PRTCT KIT USB 3.1 6PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","USB 3.1","6 pcs - 4 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-52.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-52.JPG,PN-DESIGNKIT-52-ND,PN-DESIGNKIT-52,Bourns Inc.,CIRC PRTCT KIT BIDIRECTIONAL 2PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","BiDirectional","2 pcs - 2 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-56.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-56.jpg,PN-DESIGNKIT-56-ND,PN-DESIGNKIT-56,Bourns Inc.,CIRC PRTCT KIT USB 3.1 2PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","USB 3.1","2 pcs - 2 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-51.pdf,//media.digikey.com/Photos/Bourns%20Photos/PN-DESIGNKIT-51.jpg,PN-DESIGNKIT-51-ND,PN-DESIGNKIT-51,Bourns Inc.,CIRC PRTCT KIT SURGE SUPPRES 2PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Surge Suppression","2 pcs - 2 values"
https://www.bourns.com/docs/technical-documents/featured-product-bulletins/Bourns_KLM1603_Mini-Breaker_Kit_NPR.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_KCA-LAB1.jpg,KCA-LAB1-ND,KCA-LAB1,Bourns Inc.,CIRC PRTCT KIT THERMOSTAT 20PC,0,0,"Obsolete","0","1","Plastic Box with Bin Guide","Komatsulite™, KCA","Obsolete","Thermostat","20 Pieces - 4 Values (5 Each)"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-58.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_PN-DESIGNKIT-58.jpg,PN-DESIGNKIT-58-ND,PN-DESIGNKIT-58,Bourns Inc.,CIRC PRTCT KIT SURGE SUPPRES 3PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","Surge Suppression","3 pcs - 3 values"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/PN-DESIGNKIT-47.pdf,-,PN-DESIGNKIT-47-ND,PN-DESIGNKIT-47,Bourns Inc.,CIRC PRTCT KIT SLIC PROT 3PC,0,0,"Obsolete","0","5","Plastic Box with Bin Guide","PortNote™","Obsolete","SLIC Protection","3 pcs - 2 values"
-,-,PN-DESIGNKIT-14-ND,PN-DESIGNKIT-14,Bourns Inc.,CIRC PRTCT DESIGN KIT 14,0,0,"Obsolete","0","0","-","-","Obsolete","-","-"
-,-,PN-DESIGNKIT-17-ND,PN-DESIGNKIT-17,Bourns Inc.,CIRC PRTCT DESIGN KIT 17,0,0,"Obsolete","0","0","-","-","Obsolete","-","-"
-,-,PN-DESIGNKIT-21-ND,PN-DESIGNKIT-21,Bourns Inc.,CIRC PRTCT DESIGN KIT 21,0,0,"Obsolete","0","0","-","-","Obsolete","-","-"
-,-,PN-DESIGNKIT-23-ND,PN-DESIGNKIT-23,Bourns Inc.,CIRC PRTCT DESIGN KIT 23,0,0,"Obsolete","0","0","-","-","Obsolete","-","-"
-,-,PN-DESIGNKIT-24-ND,PN-DESIGNKIT-24,Bourns Inc.,CIRC PRTCT DESIGN KIT 24,0,0,"Obsolete","0","0","-","-","Obsolete","-","-"
-,-,PN-DESIGNKIT-41-ND,PN-DESIGNKIT-41,Bourns Inc.,CIRC PRTCT DESIGN KIT 41,0,0,"Obsolete","0","0","-","-","Obsolete","-","-"
-,-,PN-DESIGNKIT-53-ND,PN-DESIGNKIT-53,Bourns Inc.,CIRC PRTCT DESIGN KIT 53,0,0,"Obsolete","0","0","-","-","Obsolete","-","-"
