Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-005-ALTA-Pharmaceutical-Lab-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-PHL-ROG.jpg,MNK2-9-CG-PHL-ROG-ND,MNK2-9-CG-PHL-ROG,Monnit Corporation,ALTA PHARMACY / LAB MONITORING K,0,0,"338.40000","0","10","-","-","Active","Wireless IoT Sensor Kit","3 Pieces (Assorted per Value)"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-001-ALTA-Commercial-Refrigeration-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-CRF-ROG.jpg,MNK2-9-CG-CRF-ROG-ND,MNK2-9-CG-CRF-ROG,Monnit Corporation,ALTA COMMERCIAL REFRIGERATION MO,0,0,"410.40000","0","10","-","-","Active","Wireless IoT Sensor Kit","4 Pieces (Assorted Per Value)"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-010-ALTA-Small-Business-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-SMB-ROG.jpg,MNK2-9-CG-SMB-ROG-ND,MNK2-9-CG-SMB-ROG,Monnit Corporation,ALTA SMALL BUSINESS MONITORING K,0,0,"428.40000","0","10","-","-","Active","Wireless IoT Sensor Kit","4 Pieces (4 Values - 1 Each)"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-009-ALTA-Mobile-Refrigeration-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-MRF-ROG.jpg,MNK2-9-CG-MRF-ROG-ND,MNK2-9-CG-MRF-ROG,Monnit Corporation,ALTA MOBILE REFRIGERATION MONITO,0,0,"478.80000","0","10","-","-","Active","Wireless IoT Sensor Kit","5 Pieces (5 Values - 1 Each)"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-006-ALTA-Remote-Real-Estate-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-RES-ROG.jpg,MNK2-9-CG-RES-ROG-ND,MNK2-9-CG-RES-ROG,Monnit Corporation,ALTA REMOTE REAL ESTATE MONITORI,0,0,"511.20000","0","10","-","-","Active","Wireless IoT Sensor Kit","5 Pieces (5 Values - 1 Each)"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-002-ALTA-Corporate-Property-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-CPR-ROG.jpg,MNK2-9-CG-CPR-ROG-ND,MNK2-9-CG-CPR-ROG,Monnit Corporation,ALTA CORPORATE PROPERTY MONITORI,0,0,"525.60000","0","10","-","-","Active","Wireless IoT Sensor Kit","5 Pieces (5 Values - 1 Each)"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-008-ALTA-Manufacturing-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-MFT-ROG.jpg,MNK2-9-CG-MFT-ROG-ND,MNK2-9-CG-MFT-ROG,Monnit Corporation,ALTA MANUFACTURING MONITORING KI,0,0,"529.20000","0","10","-","-","Active","Wireless IoT Sensor Kit","5 Pieces (Assorted Per Value)"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-004-ALTA-IT-Server-Room-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-ITS-ROG.jpg,MNK2-9-CG-ITS-ROG-ND,MNK2-9-CG-ITS-ROG,Monnit Corporation,ALTA IT SERVER ROOM MONITORING K,0,0,"540.00000","0","10","-","-","Active","Wireless IoT Sensor Kit","5 Pieces (Assorted Per Value)"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-007-ALTA-Agriculture-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-AGM-ROG.jpg,MNK2-9-CG-AGM-ROG-ND,MNK2-9-CG-AGM-ROG,Monnit Corporation,ALTA AGRICULTURE MONITORING KIT,0,0,"615.60000","0","10","-","-","Active","Wireless IoT Sensor Kit","4 Pieces (4 Values - 1 Each)"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-003-ALTA-HVAC-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-HVC-ROG.jpg,MNK2-9-CG-HVC-ROG-ND,MNK2-9-CG-HVC-ROG,Monnit Corporation,ALTA HVAC MONITORING KIT (CELLUL,0,0,"806.40000","0","10","-","-","Active","Wireless IoT Sensor Kit","6 Pieces (Assorted Per Values)"
-,-,WSK-900-0002-ND,WSK-900-0002,Digital Six Labs,REFRIGERATION KIT IND ETH,0,0,"956.15000","0","1","-","*","Active","-","-"
-,-,WSK-900-0018-ND,WSK-900-0018,Digital Six Labs,FOOD SAFETY KIT PRO ETH,0,0,"981.50000","0","1","-","*","Active","-","-"
-,-,WSK-900-0003-ND,WSK-900-0003,Digital Six Labs,REFRIGERATION KIT IND 4G,0,0,"1037.41000","0","1","-","*","Active","-","-"
-,-,WSK-900-0019-ND,WSK-900-0019,Digital Six Labs,FOOD SAFETY KIT PRO 4G,0,0,"1062.76000","0","1","-","*","Active","-","-"
-,-,WSK-900-0012-ND,WSK-900-0012,Digital Six Labs,COMM PROPERTY KIT IND ETH,0,0,"1328.61000","0","1","-","*","Active","-","-"
-,-,WSK-900-0013-ND,WSK-900-0013,Digital Six Labs,COMM PROPERTY KIT IND 4G,0,0,"1409.86000","0","1","-","*","Active","-","-"
-,//media.digikey.com/Photos/Digi-Key%20Photos/STMICROCURRENTSENSE-KIT.jpg,STMICROCURRENTSENSE-KIT-ND,STMICROCURRENTSENSE-KIT-ND,Digi-Key Kit,CURRENT SENSE KIT,2,0,"27.15000","0","1","Case","-","Active","Current Sensor","5 Pieces (Assorted Per Value)"
-,//media.digikey.com/photos/Hamlin%20Photos/HE1-KIT.jpg,HE1-KIT-ND,Q112118,Littelfuse Inc.,KIT MAGNETIC SENSOR SPST & SPDT,0,0,"Discontinued at Digi-Key","0","1","Notebook","-","Discontinued at Digi-Key","Magnetic","22 Pieces (18 Values - Mixed Quantities)"
-,//media.digikey.com/photos/Hamlin%20Photos/HE2-KIT.jpg,HE2-KIT-ND,Q112160,Littelfuse Inc.,KIT MAGNETIC SENSOR SPST-HI VOLT,0,0,"Discontinued at Digi-Key","0","1","Notebook","-","Discontinued at Digi-Key","Magnetic","18 Pieces (18 Values - 1 Each)"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20PDFs/hmc1055_Rev2005.pdf,//media.digikey.com/photos/Honeywell%20Photos/HMC1055.jpg,342-1036-ND,HMC1055,Honeywell Aerospace,KIT COMPASS SENSOR 3-AXIS,0,0,"Obsolete","0","4","-","-","Obsolete","Magnetic Sensor","3 Pieces (3 Values - 1 Each)"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2622-TLP-ND,ADNB-2622-TLP,Broadcom Limited,OPT SENSOR TRIM LENS P BIN LED,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2622-TLK-ND,ADNB-2622-TLK,Broadcom Limited,OPT SENSOR TRIM LENS K BIN LED,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2611-RLP-ND,ADNB-2611-RLP,Broadcom Limited,OPT SENSOR ROUND LENS P BIN LED,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2612-TLK-ND,ADNB-2612-TLK,Broadcom Limited,OPT SENSOR TRIM LENS K BIN LED,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2611-RLK-ND,ADNB-2611-RLK,Broadcom Limited,OPT SENSOR ROUND LENS K BIN LED,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2612-TLP-ND,ADNB-2612-TLP,Broadcom Limited,OPT SENSOR TRIM LENS P BIN LED,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2621-RLP-ND,ADNB-2621-RLP,Broadcom Limited,OPT SENSOR ROUND LENS P BIN LED,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-5032-ND,ADNB-5032,Broadcom Limited,OPT SENSOR BUNDLE W/TRIMMED LENS,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2611-ND,ADNB-2611,Broadcom Limited,OPTICAL SENSOR WITH ROUND LENS,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2621-RLK-ND,ADNB-2621-RLK,Broadcom Limited,OPT SENSOR ROUND LENS K BIN LED,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2612-ND,ADNB-2612,Broadcom Limited,OPTICAL SENSOR WITH TRIMMED LENS,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2621-ND,ADNB-2621,Broadcom Limited,OPTICAL SENSOR WITH ROUND LENS,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2622-ND,ADNB-2622,Broadcom Limited,OPTICAL SENSOR WITH TRIMMED LENS,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-5021-ND,ADNB-5021,Broadcom Limited,OPT SENSOR BUNDLE W/ROUND LENS,0,0,"Obsolete","0","3000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-5022-ND,ADNB-5022,Broadcom Limited,OPT SENSOR BUNDLE W/TRIMMED LENS,0,0,"Obsolete","0","3000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2032-TLP-ND,ADNB-2032-TLP,Broadcom Limited,OPT SENSOR TRIM LENS P BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2031-RLK-ND,ADNB-2031-RLK,Broadcom Limited,OPT SENSOR ROUND LENS K BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2032-TLK-ND,ADNB-2032-TLK,Broadcom Limited,OPT SENSOR TRIM LENS K BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2031-RLP-ND,ADNB-2031-RLP,Broadcom Limited,OPT SENSOR ROUND LENS P BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6001-ND,ADNB-6001,Broadcom Limited,OPT SENSOR BUNDLE W/ROUND LENS,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6002-EV-ND,ADNB-6002-EV,Broadcom Limited,OPT SENS BUNDLE W/A-6000 TL CLIP,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6001-EV-ND,ADNB-6001-EV,Broadcom Limited,OPT SENS BUNDLE W/A-6000 RL CLIP,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2032-ND,ADNB-2032,Broadcom Limited,OPTICAL SENSOR WITH TRIMMED LENS,0,0,"Obsolete","0","3000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3061-ND,ADNB-3061,Broadcom Limited,OPTICAL SENSOR WITH ROUND LENS,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3062-ND,ADNB-3062,Broadcom Limited,OPTICAL SENSOR WITH TRIMMED LENS,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3062-TLP-ND,ADNB-3062-TLP,Broadcom Limited,OPT SENSOR TRIM LENS P BIN LED,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3061-RLK-ND,ADNB-3061-RLK,Broadcom Limited,OPT SENSOR ROUND LENS K BIN LED,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3062-TLK-ND,ADNB-3062-TLK,Broadcom Limited,OPT SENSOR TRIM LENS K BIN LED,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3061-RLP-ND,ADNB-3061-RLP,Broadcom Limited,OPT SENSOR ROUND LENS P BIN LED,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3082-ND,ADNB-3082,Broadcom Limited,OPTICAL SENSOR WITH TRIMMED LENS,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3082-TLP-ND,ADNB-3082-TLP,Broadcom Limited,OPT SENSOR TRIM LENS P BIN LED,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3081-ND,ADNB-3081,Broadcom Limited,OPTICAL SENSOR WITH ROUND LENS,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3081-RLP-ND,ADNB-3081-RLP,Broadcom Limited,OPT SENSOR ROUND LENS P BIN LED,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3082-TLK-ND,ADNB-3082-TLK,Broadcom Limited,OPT SENSOR TRIM LENS K BIN LED,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3042-ND,ADNB-3042,Broadcom Limited,OPTICAL SENSOR WITH TRIMMED LENS,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3081-RLK-ND,ADNB-3081-RLK,Broadcom Limited,OPT SENSOR ROUND LENS K BIN LED,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3042-TLP-ND,ADNB-3042-TLP,Broadcom Limited,OPT SENSOR TRIM LENS P BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-7051-EV-ND,ADNB-7051-EV,Broadcom Limited,OPT SENSOR BUNDLE SET FOR A7050,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6032-ND,ADNB-6032,Broadcom Limited,OPT SENSOR BUNDLE W/TRIMMED LENS,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6032-EV-ND,ADNB-6032-EV,Broadcom Limited,OPT SENS BUNDLE W/A-6030 TL CLIP,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6031-ND,ADNB-6031,Broadcom Limited,OPT SENSOR BUNDLE W/ROUND LENS,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6031-EV-ND,ADNB-6031-EV,Broadcom Limited,OPT SENS BUNDLE W/A-6030 RL CLIP,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2031-ND,ADNB-2031,Broadcom Limited,OPTICAL SENSOR WITH ROUND LENS,0,0,"Obsolete","0","3000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6011-ND,ADNB-6011,Broadcom Limited,LASER MOUSE SENS W/ROUND LENS,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-5031-ND,ADNB-5031,Broadcom Limited,OPT SENSOR BUNDLE W/ROUND LENS,0,0,"Obsolete","0","4000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6002-ND,ADNB-6002,Broadcom Limited,OPT SENSOR BUNDLE W/TRIMMED LENS,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6012-ND,ADNB-6012,Broadcom Limited,OPT SENSOR BUNDLE W/TRIMMED LENS,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2050-ND,ADNB-2050,Broadcom Limited,OPTICAL SENSOR WITH ROUND LENS,0,0,"Obsolete","0","3000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6012-EV-ND,ADNB-6012-EV,Broadcom Limited,OPT SENS BUNDLE W/A-6010 TL CLIP,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6011-EV-ND,ADNB-6011-EV,Broadcom Limited,OPT SENS BUNDLE W/A-6010 RL CLIP,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2051-ND,ADNB-2051,Broadcom Limited,OPTICAL SENSOR WITH TRIMMED LENS,0,0,"Obsolete","0","3000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2051-TLP-ND,ADNB-2051-TLP,Broadcom Limited,OPT SENSOR TRIM LENS P BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2051-TLK-ND,ADNB-2051-TLK,Broadcom Limited,OPT SENSOR TRIM LENS K BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2050-RLP-ND,ADNB-2050-RLP,Broadcom Limited,OPT SENSOR ROUND LENS P BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2050-RLK-ND,ADNB-2050-RLK,Broadcom Limited,OPT SENSOR ROUND LENS K BIN LED,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
-,//media.digikey.com/Photos/Parallax%20Photos/27901.jpg,27901-ND,27901,Parallax Inc.,GAS SENSOR KIT CO2 CH4 CO LPG,0,0,"Obsolete","0","1","-","-","Obsolete","Gas Sensor","4 Pieces (Assorted Per Value)"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/H-848_Web.pdf#zoom=150,-,H-848-ND,H-848,Bourns Inc.,LINEAR MOTION DESIGN KIT 8-PCS,0,0,"Active","0","0","Plastic Box with Bin Guide","-","Active","Linear Motion Potentiometer","8 Pieces (4 Values - 2 Each)"
