Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Power - Max","Voltage - Input","Voltage - Output","Connector - AC Output","Cord Length","Size / Dimension","Height","Form","Weight"
https://assets.tripplite.com/product-pdfs/en/lc1800.pdf,//media.digikey.com/photos/Tripplite%20Photos/mfgLC1800.jpg,TL014-ND,LC1800,Tripp Lite,LINE CONDITIONER 1800W 6OUTLET,31,0,"211.14000","0","1","-","Active","1800W","89 ~ 147 VAC","120VAC","NEMA 5-15R (6)","7' (2.13m)","7.008"" L x 5.984"" W (178.00mm x 152.00mm)","7.008"" (178.00mm)","Tower","-"
https://assets.tripplite.com/product-pdfs/en/lc2400.pdf,//media.digikey.com/photos/Tripplite%20Photos/mfgLC2400.jpg,TL044-ND,LC2400,Tripp Lite,LINE CONDITIONER 2400W 6OUTLET,2,0,"284.02000","0","1","-","Active","2400W","89 ~ 147 VAC","120VAC","NEMA 5-15R (4), NEMA 5-20R (2)","6' (1.83m)","9.488"" L x 5.984"" W (241.00mm x 152.00mm)","7.008"" (178.00mm)","Tower","12 lbs (5.4kg)"
https://assets.tripplite.com/product-pdfs/en/lr2000.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_LR2000.jpg,TL410-ND,LR2000,Tripp Lite,4NEMA & 3IEC-320 OUT LINE COND,10,0,"336.19000","0","1","-","Active","2000W","168 ~ 278 VAC","230VAC","IEC 320-C13 (2), NEMA 5-15R (2), NEMA 6-15R (2)","6.5' (1.98m)","7.008"" L x 5.984"" W (178.00mm x 152.00mm)","7.008"" (178.00mm)","Tower","-"
https://assets.tripplite.com/product-pdfs/en/ls606m.pdf,//media.digikey.com/photos/Tripplite%20Photos/mfgLS606M.jpg,TL283-ND,LS606M,Tripp Lite,LINE CONDITIONER 600W 6OUT 3-LED,6,0,"107.04000","0","1","-","Active","600W","85 ~ 147 VAC","120VAC","NEMA 5-15R (6)","6' (1.83m)","4.764"" L x 4.764"" W (121.00mm x 121.00mm)","5.315"" (135.00mm)","Tower","-"
https://assets.tripplite.com/product-pdfs/en/lc1200.pdf,//media.digikey.com/Photos/Tripplite%20Photos/LC1200.JPG,TL013-ND,LC1200,Tripp Lite,LINE CONDITIONER 1200W 4OUTLET,7,0,"156.11000","0","1","-","Active","1200W","89 ~ 147 VAC","120VAC","NEMA 5-15R (4)","7' (2.13m)","7.008"" L x 5.984"" W (178.00mm x 152.00mm)","7.244"" (184.00mm)","Tower","-"
https://assets.tripplite.com/product-pdfs/en/lcr2400.pdf,//media.digikey.com/photos/Tripplite%20Photos/mfgLCR2400.jpg,TL028-ND,LCR2400,Tripp Lite,LINE COND 2400W 14OUT RACK MOUNT,6,0,"376.33000","0","1","-","Active","2400W","89 ~ 147 VAC","120VAC","NEMA 5-15R (14)","12' (3.66m)","7.756"" L x 19.000"" W (197.00mm x 482.60mm)","5.252"" (133.40mm)","Rackmount","25 lbs (11.3kg)"
https://assets.tripplite.com/product-pdfs/en/lr604.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_LR604.jpg,TL1823-ND,LR604,Tripp Lite,LINE CONDITIONER 600W 3OUT,6,0,"143.82000","0","1","-","Active","600W","189 ~ 247 VAC","230VAC","IEC 320-C13 (3)","6' (1.83m)","4.803"" L x 5.512"" W (122.00mm x 140.00mm)","5.236"" (133.00mm)","Tower","-"
https://assets.tripplite.com/product-pdfs/en/lr1000.pdf,//media.digikey.com/Photos/Tripplite%20Photos/LR1000.jpg,TL2040-ND,LR1000,Tripp Lite,LINE CONDITIONER 1000W 4OUT,18,0,"181.75000","0","1","-","Active","1000W","168 ~ 278 VAC","230VAC","IEC 320-C13 (2), NEMA 5-15R (2)","6' (1.83m)","7.008"" L x 5.984"" W (178.00mm x 152.00mm)","7.008"" (178.00mm)","-","-"
https://www.emerson.com/documents/automation/product-data-sheet-cvs-hardwired-constant-voltage-transformers-solahd-en-us-163816.pdf,-,2106-63-23-112-4-ND,63-23-112-4,SolaHD,120VA MCR HARDWIRE REGULATOR,2,0,"473.04000","0","1","MCR","Active","120VA","120 ~ 480VAC","120VAC","Hardwired","-","5.000"" L x 4.016"" W (127.00mm x 102.00mm)","9.016"" (229.00mm)","Din Rail","-"
https://www.emerson.com/documents/automation/product-data-sheet-cvs-hardwired-constant-voltage-transformers-solahd-en-us-163816.pdf,-,2106-63-23-125-4-ND,63-23-125-4,SolaHD,250VA MCR HARDWIRE REGULATOR,2,0,"605.37000","0","1","MCR","Active","250VA","120 ~ 480VAC","120VAC","Hardwired","-","7.992"" L x 5.984"" W (203.00mm x 152.00mm)","10.000"" (254.00mm)","Din Rail","-"
//media.digikey.com/pdf/Data%20Sheets/AlfaMag%20Elect%20PDFs/Thor%20and%20Hercules%20Specifications.pdf,"//media.digikey.com/Photos/Amgis,%20LLC/MFG_1935-100.jpg",TE2310-ND,1935-100,"Amgis, LLC",THOR 100W VOLTAGE/FREQUENCY CONV,10,0,"823.82000","0","1","Thor","Active","100W","85 ~ 264 VAC","115VAC, 230VAC","Universal","-","8.000"" L x 6.150"" W (200.00mm x 154.00mm)","3.150"" (80.00mm)","Desktop","-"
https://www.emerson.com/documents/automation/product-data-sheet-cvs-hardwired-constant-voltage-transformers-solahd-en-us-163816.pdf,-,2106-63-23-150-8-ND,63-23-150-8,SolaHD,500VA MCR HARDWIRE REGULATOR,2,0,"871.98000","0","1","MCR","Active","500VA","120 ~ 480VAC","120VAC, 208VAC, 240VAC","Hardwired","-","7.008"" L x 9.016"" W (178.00mm x 229.00mm)","12.992"" (330.00mm)","Din Rail","-"
https://www.emerson.com/documents/automation/product-data-sheet-cvs-hardwired-constant-voltage-transformers-solahd-en-us-163816.pdf,-,2106-63-23-175-8-ND,63-23-175-8,SolaHD,750VA MCR HARDWIRE REGULATOR,2,0,"1111.16000","0","1","MCR","Active","750VA","120 ~ 480VAC","120VAC, 208VAC, 240VAC","Hardwired","-","7.008"" L x 9.016"" W (178.00mm x 229.00mm)","14.016"" (356.00mm)","Din Rail","-"
https://www.emerson.com/documents/automation/product-data-sheet-cvs-hardwired-constant-voltage-transformers-solahd-en-us-163816.pdf,-,2106-63-23-210-8-ND,63-23-210-8,SolaHD,1000VA MCR HARDWIRE REGULATOR,2,0,"1325.73000","0","1","MCR","Active","1000VA","120 ~ 480VAC","120VAC, 208VAC, 240VAC","Hardwired","-","7.008"" L x 9.016"" W (178.00mm x 229.00mm)","17.008"" (432.00mm)","Din Rail","-"
//media.digikey.com/pdf/Data%20Sheets/AlfaMag%20Elect%20PDFs/Thor%20and%20Hercules%20Specifications.pdf,"//media.digikey.com/Photos/Amgis,%20LLC/MFG_1935-200.jpg",TE2311-ND,1935-200,"Amgis, LLC",HERCULES 200W VOLTAGE/FREQUENCY,6,0,"1499.30000","0","1","Hercules","Active","200W","85 ~ 264 VAC","115VAC, 230VAC","Universal","-","8.000"" L x 6.150"" W (200.00mm x 154.00mm)","3.150"" (80.00mm)","Desktop","-"
https://www.emerson.com/documents/automation/product-data-sheet-cvs-hardwired-constant-voltage-transformers-solahd-en-us-163816.pdf,-,2106-63-23-215-8-ND,63-23-215-8,SolaHD,1500VA MCR HARDWIRE REGULATOR,2,0,"1637.24000","0","1","MCR","Active","1500VA","120 ~ 480VAC","120VAC, 208VAC, 240VAC","Hardwired","-","9.016"" L x 12.992"" W (229.00mm x 330.00mm)","17.008"" (432.00mm)","Din Rail","-"
https://www.emerson.com/documents/automation/catalog-solahd-mcr-hardwired-series-power-line-conditioner-en-us-163826.pdf,-,2106-63-23-220-8-ND,63-23-220-8,SolaHD,2000VA MCR HARDWIRE REGULATOR,2,0,"2071.01000","0","1","MCR","Active","2000VA","120 ~ 480VAC","120VAC, 208VAC, 240VAC","Hardwired","-","9.016"" L x 12.992"" W (229.00mm x 330.00mm)","17.992"" (457.00mm)","Rackmount","-"
https://assets.tripplite.com/product-pdfs/en/ls604wm.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_LS604WM.jpg,LS604WM-ND,LS604WM,Tripp Lite,LINE CONDITIONER 600W 4OUT,0,0,"139.75000","0","1","-","Active","600W","87 ~ 140 VAC","120VAC","NEMA 5-15R (4)","6' (1.83m)","5.752"" L x 5.000"" W (146.10mm x 127.00mm)","4.000"" (101.60mm)","Tower","-"
-,-,2106-63-13-070-6-ND,63-13-070-6,SolaHD,70VA MCR PORTABLE REGULATOR,0,0,"346.89000","0","1","*","Active","70VA","-","-","-","-","-","-","-","-"
-,-,2106-63-13-115-6-ND,63-13-115-6,SolaHD,150VA MCR PORTABLE REGULATOR,0,0,"546.08000","0","1","*","Active","150VA","-","-","-","-","-","-","-","-"
-,-,2106-63-23-612-8-ND,63-23-612-8,SolaHD,120VA MCR HW REGULATOR 50HZ,0,0,"603.17000","0","1","*","Active","120VA","-","-","-","-","-","-","-","-"
-,-,2106-63-13-125-6-ND,63-13-125-6,SolaHD,250VA MCR PORTABLE REGULATOR,0,0,"728.30000","0","1","*","Active","250VA","-","-","-","-","-","-","-","-"
-,-,2106-63-23-625-8-ND,63-23-625-8,SolaHD,250VA MCR HW REGULATOR 50HZ,0,0,"732.26000","0","1","*","Active","250VA","-","-","-","-","-","-","-","-"
-,-,2106-63-31-150-8-ND,63-31-150-8,SolaHD,500VA 600V HW MINI REG,0,0,"918.47000","0","1","*","Active","500VA","-","-","-","-","-","-","-","-"
-,-,2106-63-13-150-6-ND,63-13-150-6,SolaHD,500VA MCR PORTABLE REGULATOR,0,0,"973.82000","0","1","*","Active","500VA","-","-","-","-","-","-","-","-"
-,-,2106-63-23-650-8-ND,63-23-650-8,SolaHD,500VA MCR HW REGULATOR 50HZ,0,0,"1085.43000","0","1","*","Active","500VA","-","-","-","-","-","-","-","-"
-,-,2106-63-13-175-6-ND,63-13-175-6,SolaHD,750VA MCR PORTABLE REGULATOR,0,0,"1240.81000","0","1","*","Active","750VA","-","-","-","-","-","-","-","-"
-,-,2106-63-32-210-8-ND,63-32-210-8,SolaHD,1000VA MCR HARDWIRE REG 600V,0,0,"1417.32000","0","1","*","Active","1000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-13-210-6-ND,63-13-210-6,SolaHD,1000VA MCR PORTABLE REGULATOR,0,0,"1431.93000","0","1","*","Active","1000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-23-710-8-ND,63-23-710-8,SolaHD,1000VA MCR HW REGULATOR 50HZ,0,0,"1713.31000","0","1","*","Active","1000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-13-215-6-ND,63-13-215-6,SolaHD,1500VA MCR PORTABLE REGULATOR,0,0,"1773.56000","0","1","*","Active","1500VA","-","-","-","-","-","-","-","-"
-,-,2106-63-32-220-8-ND,63-32-220-8,SolaHD,2000VA MCR HARDWIRE REG 600V,0,0,"2203.90000","0","1","*","Active","2000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-13-220-6-ND,63-13-220-6,SolaHD,2000VA MCR PORTABLE REGULATOR,0,0,"2227.27000","0","1","*","Active","2000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-23-720-8-ND,63-23-720-8,SolaHD,2000VA MCR HW REGULATOR 50HZ,0,0,"2718.68000","0","1","*","Active","2000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-23-230-8-ND,63-23-230-8,SolaHD,3000VA MCR HARDWIRE REGULATOR,0,0,"2961.11000","0","1","*","Active","3000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-13-230-6-ND,63-13-230-6,SolaHD,3000VA MCR PORTABLE REGULATOR,0,0,"3112.79000","0","1","*","Active","3000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-32-230-8-ND,63-32-230-8,SolaHD,3000VA MCR HARDWIRE REG 600V,0,0,"3161.68000","0","1","*","Active","3000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-23-730-8-ND,63-23-730-8,SolaHD,3000VA MCR HW REGULATOR 50HZ,0,0,"3620.72000","0","1","*","Active","3000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-23-250-8-ND,63-23-250-8,SolaHD,5000VA MCR HARDWIRE REGULATOR,0,0,"4630.94000","0","1","*","Active","5000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-29-250-8-ND,63-29-250-8,SolaHD,5000VA MCR HARDWIRE REG CAN,0,0,"4995.75000","0","1","*","Active","5000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-23-750-8-ND,63-23-750-8,SolaHD,5000VA MCR HW REGULATOR 50HZ,0,0,"5811.58000","0","1","*","Active","5000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-28-275-8-ND,63-28-275-8,SolaHD,7500VA MCR HW REGULATOR,0,0,"6071.37000","0","1","*","Active","7500VA","-","-","-","-","-","-","-","-"
-,-,2106-63-29-275-8-ND,63-29-275-8,SolaHD,7500VA MCR HARDWIRE REG CAN,0,0,"7494.26000","0","1","*","Active","7500VA","-","-","-","-","-","-","-","-"
-,-,2106-63-28-775-8-ND,63-28-775-8,SolaHD,7500VA MCR HW REGULATOR 50HZ,0,0,"7924.26000","0","1","*","Active","7500VA","-","-","-","-","-","-","-","-"
-,-,2106-63-28-310-8-ND,63-28-310-8,SolaHD,10000VA MCR HW REGULATOR,0,0,"8129.81000","0","1","*","Active","10000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-29-310-8-ND,63-29-310-8,SolaHD,10000VA MCR HW REG CANADA,0,0,"9988.99000","0","1","*","Active","10000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-28-315-8-ND,63-28-315-8,SolaHD,15000VA MCR HW REGULATOR,0,0,"11401.84000","0","1","*","Active","15000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-28-810-8-ND,63-28-810-8,SolaHD,10000VA MCR HW REGULATOR 50HZ,0,0,"11620.37000","0","1","*","Active","10000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-29-315-8-ND,63-29-315-8,SolaHD,15000VA MCR HW REG CANADA,0,0,"12164.05000","0","1","*","Active","15000VA","-","-","-","-","-","-","-","-"
-,-,2106-63-28-815-8-ND,63-28-815-8,SolaHD,15000VA MCR HW REGULATOR 50HZ,0,0,"17575.76000","0","1","*","Active","15000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TCA320-ND,63TCA320,SolaHD,3PH REG 20KVA 480D-208Y,0,0,"24038.01000","0","1","*","Active","20000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TCC320-ND,63TCC320,SolaHD,3PH REG 20KVA 480D-480Y,0,0,"24038.01000","0","1","*","Active","20000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TDA320-ND,63TDA320,SolaHD,3PH REG 20KVA 600D-208Y,0,0,"24038.01000","0","1","*","Active","20000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TCA330-ND,63TCA330,SolaHD,3PH REG 30KVA 480D-208Y,0,0,"25942.36000","0","1","*","Active","30000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TCC330-ND,63TCC330,SolaHD,3PH REG 30KVA 480D-480Y,0,0,"25942.36000","0","1","*","Active","30000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TDA330-ND,63TDA330,SolaHD,3PH REG 30KVA 600D-208Y,0,0,"25942.36000","0","1","*","Active","30000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TAA320-ND,63TAA320,SolaHD,3PH REG 20KVA 208D-208Y,0,0,"27108.26000","0","1","*","Active","20000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TAA330-ND,63TAA330,SolaHD,3PH REG 30KVA 208D-208Y,0,0,"29094.98000","0","1","*","Active","30000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TCA350-ND,63TCA350,SolaHD,3PH REG 50KVA 480D-208Y,0,0,"29401.70000","0","1","*","Active","50000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TCC350-ND,63TCC350,SolaHD,3PH REG 50KVA 480D-480Y,0,0,"29401.70000","0","1","*","Active","50000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TDA350-ND,63TDA350,SolaHD,3PH REG 50KVA 600D-208Y,0,0,"29401.70000","0","1","*","Active","50000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TAA350-ND,63TAA350,SolaHD,3PH REG 50KVA 208D-208Y,0,0,"32987.44000","0","1","*","Active","50000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TCA375-ND,63TCA375,SolaHD,3PH REG 75KVA 480D-208Y,0,0,"37506.21000","0","1","*","Active","75000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TCC375-ND,63TCC375,SolaHD,3PH REG 75KVA 480D-480Y,0,0,"37506.21000","0","1","*","Active","75000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TDA375-ND,63TDA375,SolaHD,3PH REG 75KVA 600D-208Y,0,0,"37506.21000","0","1","*","Active","75000VA","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-solatron-plus-series-power-conditioners-en-us-163836.pdf,-,2106-63TAA375-ND,63TAA375,SolaHD,3PH REG 75KVA 208D-208Y,0,0,"42166.95000","0","1","*","Active","75000VA","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/lc1200wm.pdf,-,LC1200WM-ND,LC1200WM,Tripp Lite,LINE CONDITIONER 1200W 4OUT,0,0,"Obsolete","0","1","-","Obsolete","1200W","87 ~ 140 VAC","120VAC","NEMA 5-15R (4)","6' (1.83m)","7.252"" L x 5.000"" W (184.20mm x 127.00mm)","5.000"" (127.00mm)","Tower","-"
